distance,bed,error,surface,source
0,263.9057617,10,1046.427002,2
150,262.1434937,10,1043.097778,2
300,260.6561279,11,1039.767944,2
450,259.4213257,11,1034.497925,2
600,261.1771851,10,1028.505615,2
750,261.1771851,10,1028.505615,2
900,260.835144,11,1022.559631,2
1050,263.1262817,12,1017.215454,2
1200,263.1262817,12,1017.215454,2
1350,268.1565552,13,1013.621277,2
1500,269.9656982,17,1006.147461,2
1650,277.5728149,13,1002.346069,2
1800,285.6964111,12,1002.044067,2
1950,295.9417725,10,995.3942871,2
2100,305.8433838,10,989.7260742,2
2250,305.8433838,10,989.7260742,2
2400,312.8457031,10,981.8726196,2
2550,323.163147,10,978.2598877,2
2700,326.9866333,10,971.5973511,2
2850,329.1390991,10,970.7305298,2
3000,335.0892334,10,964.395752,2
3150,337.2515259,10,956.9276123,2
3300,346.3795166,11,945.9169922,2
3450,351.6074219,11,943.93927,2
3600,349.2377319,10,933.8600464,2
3750,351.1282959,10,921.284668,2
3900,360.4441528,10,919.1124878,2
4050,360.380127,10,909.7963257,2
4200,356.5321655,12,901.5227051,2
4350,358.835144,12,895.012146,2
4500,364.2774658,10,895.5437622,2
4650,363.9668579,11,890.4553223,2
4800,371.6231689,10,887.3521729,2
4950,380.004303,11,878.5083618,2
5100,380.004303,11,878.5083618,2
5250,389.5986023,11,869.1737671,2
5400,394.7208252,10,855.3484497,2
5550,380.3756714,10,841.6952515,2
5700,396.4869385,10,837.236145,2
5850,390.1816101,10,822.142395,2
6000,383.2327881,10,816.4243774,2
6150,383.5069885,10,804.8213501,2
6300,393.9443359,10,800.427063,2
6450,379.3076782,10,791.9591064,2
6600,383.591095,10,777.8931274,2
6750,387.0559082,10,763.9660645,2
6900,387.0559082,10,763.9660645,2
7050,391.0114441,10,748.9649658,2
7200,396.8496399,10,734.4176025,2
7350,396.8496399,10,734.4176025,2
7500,376.7930298,30,716.3794556,4
7650,372.1314087,30,705.2025146,4
7800,361.6450806,30,701.8826904,4
7950,373.8203735,30,698.8588867,4
8100,366.1653748,30,681.8856201,4
8250,351.2053833,30,671.2880249,4
8400,336.398468,30,644.2962646,6
8550,334.0865479,30,628.800293,6
8700,317.7054138,30,616.3601074,6
8850,296.8338623,30,586.8313599,6
9000,269.0780945,30,552.321167,6
9150,269.0780945,30,552.321167,6
9300,240.6944275,30,519.5516968,6
9450,215.7545471,30,490.6063232,6
9600,198.8302307,30,477.8143616,6
9750,191.998291,30,462.3461609,6
9900,172.0852661,30,440.8267517,6
10050,157.0000305,30,430.1829224,6
10200,131.5961304,30,410.3117065,6
10350,123.2112427,30,402.2324219,6
10500,98.98352051,30,385.0978699,6
10650,52.29882813,30,346.004425,6
10800,-29.57214355,30,278.7811279,6
10950,-29.57214355,30,278.7811279,6
11100,-117.9811249,30,201.0485687,6
11250,-103.7342834,30,156.3901062,4
11400,-103.7342834,30,156.3901062,4
11550,-101.5891724,30,139.6964569,4
11700,-102.5482178,30,120.7733154,4
11850,-114.8030167,30,100.3646011,4
12000,-102.1929245,30,102.1927872,4
12150,-106.4345703,30,77.121521,4
12300,-118.3881302,30,54.10170746,4
12450,-173.2543793,2,0,42
12600,-207.3062286,2,0,42
12750,-227.2057648,2,0,42
12900,-278.9755249,2,0,42
13050,-321.299469,2,0,42
13200,-321.299469,2,0,42
13350,-351.3943481,2,0,41
13500,-371.7068787,2,0,41
13650,-379.1153564,2,0,41
13800,-390.4712524,2,0,41
13950,-386.2844543,2,0,41
14100,-395.1087646,2,0,41
14250,-394.3527832,2,0,41
14400,-402.7586975,2,0,41
14550,-408.5769958,2,0,41
14700,-402.2884521,2,0,41
14850,-402.776001,2,0,41
15000,-400.330658,2,0,41
15150,-389.9669189,2,0,41
15300,-386.9828796,2,0,41
15450,-384.4294739,2,0,41
15600,-376.841217,2,0,41
15750,-373.9434814,2,0,41
15900,-361.1401062,2,0,41
16050,-357.7527771,2,0,41
16200,-349.6060791,2,0,41
16350,-342.5742493,2,0,41
16500,-338.8243103,2,0,41
16650,-338.8243103,2,0,41
