distance,bed,error,surface,source
0,187.8441162,17,865.1783447,2
150,179.3464966,14,858.6871948,2
300,171.0256958,11,850.6682739,2
450,176.5709229,10,840.8530884,2
600,188.0047607,11,833.5656738,2
750,201.1329956,12,827.9727173,2
900,195.3294067,11,819.5371094,2
1050,214.9230347,13,812.2055664,2
1200,209.0557861,13,804.3070068,2
1350,191.2092285,12,794.2788696,2
1500,169.9051514,12,783.9451294,2
1650,147.90448,11,770.5744019,2
1800,124.3909302,12,758.2406616,2
1950,98.98352051,15,745.2402954,2
2100,78.59991455,18,733.1565552,2
2250,58.76391602,18,719.4432373,2
2400,48.02154541,22,706.1485596,2
2550,16.6260376,21,684.6018677,2
2700,-23.36816406,31,645.6867676,2
2850,-23.36816406,31,645.6867676,2
3000,-74.63037109,42,595.0864258,2
3150,-84.62646484,47,568.7087402,2
3300,-88.08587646,52,554.1454468,2
3450,-62.7980957,51,553.1288452,2
3600,-33.84558105,45,565.8432617,2
3750,-22.7623291,44,570.7340698,2
3900,-23.25189209,43,568.4761963,2
4050,-21.72253418,43,560.44104,2
4200,-29.42028809,48,555.1719971,2
4350,-33.05438232,47,545.9979858,2
4500,-40.2401123,48,533.7948608,2
4650,-39.88348389,50,526.4729004,2
4800,-39.88348389,50,526.4729004,2
4950,-44.02001953,64,516.9749756,2
5100,-63.85238647,66,497.0232849,2
5250,-77.77246094,71,492.7557373,2
5400,-86.34747314,59,487.1456299,2
5550,-108.701355,49,473.3326416,2
5700,-103.9921265,47,474.4902344,2
5850,-115.1846619,45,465.4541931,2
6000,-125.8667297,38,454.5292664,2
6150,-137.8654175,31,444.0765991,2
6300,-150.3270874,24,433.1609497,2
6450,-166.0681458,20,421.8656921,2
6600,-185.8403931,15,408.2926636,2
6750,-191.8175964,10,383.533905,2
6900,-191.8175964,10,383.533905,2
7050,-205.197113,12,367.905365,2
7200,-191.7227478,15,351.2948914,2
7350,-192.032196,14,342.3608704,2
7500,-195.0935059,14,335.9545898,2
7650,-194.5401611,15,327.8530884,2
7800,-196.2675781,19,323.854187,2
7950,-199.91745,27,320.9200745,2
8100,-215.6576233,28,304.113739,2
8250,-219.2282715,33,298.1518555,2
8400,-230.5556335,26,274.734436,2
8550,-235.2398376,31,264.7447815,2
8700,-244.5542145,27,244.8736725,2
8850,-244.5542145,27,244.8736725,2
9000,-252.9869385,24,228.4747925,2
9150,-252.2985382,30,229.7536774,2
9300,-254.9385529,36,227.7733002,2
9450,-269.9655457,32,214.3188782,2
9600,-282.4041138,38,204.8014679,2
9750,-308.3500977,33,179.4211273,2
9900,-331.2115173,32,157.3204956,2
10050,-339.1656494,29,146.5779266,2
10200,-359.6965332,23,124.3662643,2
10350,-376.9362793,28,96.67131042,2
10500,-391.8685608,19,82.95964813,2
10650,-382.9742432,19,82.0147171,2
10800,-386.3203125,20,81.32158661,2
10950,-376.5951843,24,87.13592529,2
11100,-376.5951843,24,87.13592529,2
11250,-379.5680237,27,80.82991791,2
11400,-386.1412659,28,77.64605713,2
11550,-375.8122864,2,0,42
11700,-391.7359314,2,0,42
11850,-395.4092407,2,0,42
12000,-402.9220581,2,0,42
12150,-402.9220581,2,0,42
12300,-412.3186951,2,0,42
12450,-430.6739807,2,0,42
12600,-441.2966003,2,0,42
12750,-454.0415344,2,0,42
12900,-454.0415344,2,0,42
13050,-467.425293,2,0,42
13200,-482.247467,2,0,42
13350,-490.9146423,2,0,42
13500,-500.1089172,2,0,42
13650,-494.7852173,2,0,42
13800,-493.4912109,2,0,42
13950,-495.5510254,2,0,42
14100,-487.1116333,2,0,42
14250,-483.9771729,2,0,42
14400,-470.9177551,2,0,42
14550,-463.4838867,2,0,42
14700,-456.1727295,2,0,42
14850,-439.7208557,2,0,42
15000,-428.8296509,2,0,42
15150,-410.2915039,2,0,42
15300,-402.4976807,2,0,42
15450,-391.8555908,2,0,42
15600,-375.4842834,2,0,42
15750,-371.3839111,2,0,42
15900,-363.9769897,2,0,42
