distance,bed_elevation,surface_elevation
0,432.6715698,986.6137695
240,439.6315918,991.0467529
480,436.7705078,984.526001
720,425.7520752,968.7459717
960,416.2038574,948.4660034
1200,401.1570435,915.2816162
1440,419.9937134,918.1027222
1680,438.2315063,918.0256958
1920,453.1483154,915.6466064
2160,445.9507141,902.9307861
2400,429.2934265,886.3815918
2640,370.8440247,837.6686401
2880,335.5582275,804.7769165
3120,301.6865234,775.5796509
3360,268.5428772,748.1046753
3600,242.146698,724.8334351
3840,228.9146423,709.2473755
4080,234.835022,700.3131104
4320,220.427063,688.9615479
4560,210.6860657,680.838562
4800,201.4042969,672.2896729
5040,195.263031,666.916687
5280,182.7254333,657.3585815
5520,163.6195374,644.4671631
5760,109.8746948,612.5047607
6000,74.1885376,586.381897
6240,35.76434326,554.4572754
6480,6.882080078,532.232666
6720,-23.88345337,506.9524841
6960,-71.6390686,471.4995422
7200,-77.13513184,458.0615234
7440,-78.95288086,448.8826294
7680,-83.67700195,443.3983154
7920,-93.59573364,437.358551
8160,-101.6081848,437.5444641
8400,-121.2228394,427.3382568
8640,-149.2065735,415.1044006
8880,-175.0567627,399.8613892
9120,-214.1500244,381.6463013
9360,-250.5242615,359.653595
9600,-311.3092041,320.2387695
9840,-378.2393494,292.065033
10080,-416.9341736,269.5265198
10320,-452.3744202,245.052948
10560,-485.3391724,225.8387604
10800,-509.7837524,214.3376617
11040,-543.2176514,195.7481995
11280,-444.5253601,195.0066833
11520,-375.4596863,195.3856506
11760,-313.2222595,194.1629028
12000,-256.9030151,192.8662109
12240,-203.7770386,175.2962341
12480,-181.1327515,165.7683716
12720,-165.4872284,153.4628448
12960,-317.8521729,0
13200,-388.5781555,0
13440,-432.4561768,0
13680,-467.169281,0
13920,-489.9712219,0
14160,-503.9699402,0
14400,-507.4873962,0
14640,-507.1630554,0
14880,-505.1768494,0
15120,-516.524292,0
15360,-506.1334534,0
15600,-528.2496948,0
15840,-506.7302856,0
16080,-520.0140991,0
16320,-497.6614075,0
16560,-520.9205322,0
16800,-546.8553467,0
17040,-559.1705322,0
17280,-576.543396,0
17520,-578.7825317,0
17760,-560.9873047,0
18000,-549.4801636,0
18240,-517.5345459,0
18480,-505.1003723,0
18720,-497.848938,0
18960,-496.6484375,0
19200,-507.5440063,0
19440,-520.227478,0
19680,-534.8340454,0
19920,-548.9400024,0
20160,-560.0038452,0
20400,-557.8443604,0
