distance,bed_elevation,surface_elevation
0,263.9057617,1046.427002
240,260.6561279,1039.767944
480,259.4213257,1034.497925
720,261.1771851,1028.505615
960,260.835144,1022.559631
1200,263.1262817,1017.215454
1440,269.9656982,1006.147461
1680,285.6964111,1002.044067
1920,295.9417725,995.3942871
2160,305.8433838,989.7260742
2400,312.8457031,981.8726196
2640,323.163147,978.2598877
2880,329.1390991,970.7305298
3120,337.2515259,956.9276123
3360,346.3795166,945.9169922
3600,349.2377319,933.8600464
3840,360.4441528,919.1124878
4080,360.380127,909.7963257
4320,362.520813,902.7209473
4560,363.9668579,890.4553223
4800,371.6231689,887.3521729
5040,380.004303,878.5083618
5280,389.5986023,869.1737671
5520,394.7208252,855.3484497
5760,381.9111328,826.4070435
6000,383.2327881,816.4243774
6240,383.5069885,804.8213501
6480,379.3076782,791.9591064
6720,383.591095,777.8931274
6960,391.0114441,748.9649658
7200,396.8496399,734.4176025
7440,376.7930298,716.3794556
7680,372.1314087,705.2025146
7920,373.8203735,698.8588867
8160,351.2053833,671.2880249
8400,336.398468,644.2962646
8640,317.7054138,616.3601074
8880,296.8338623,586.8313599
9120,269.0780945,552.321167
9360,240.6944275,519.5516968
9600,198.8302307,477.8143616
9840,178.4847717,451.9338074
10080,157.0000305,430.1829224
10320,123.2112427,402.2324219
10560,84.12686157,371.2315674
10800,-29.57214355,278.7811279
11040,-117.9811249,201.0485687
11280,-103.7342834,156.3901062
11520,-101.5891724,139.6964569
11760,-102.5482178,120.7733154
12000,-102.1929245,102.1927872
12240,-118.3881302,54.10170746
12480,-173.2543793,0
12720,-227.2057648,0
12960,-278.9755249,0
13200,-321.299469,0
13440,-360.4021912,0
13680,-379.1153564,0
13920,-390.4712524,0
14160,-395.1087646,0
14400,-402.7586975,0
14640,-397.8370361,0
14880,-402.776001,0
15120,-392.3691101,0
15360,-386.9828796,0
15600,-376.841217,0
15840,-371.0315552,0
16080,-349.6060791,0
16320,-342.5742493,0
16560,-338.8243103,0
16800,-420.6122131,0
17040,-457.2080383,0
17280,-482.0098877,0
17520,-499.8597412,0
17760,-500.2158813,0
18000,-495.7114258,0
18240,-489.6856079,0
18480,-519.5887451,0
18720,-516.524292,0
18960,-518.897644,0
19200,-497.5502014,0
19440,-513.9614258,0
19680,-520.0140991,0
19920,-508.8349304,0
20160,-520.9205322,0
20400,-546.8553467,0
20640,-569.5957642,0
20880,-576.543396,0
21120,-575.3770142,0
21360,-560.9873047,0
21600,-531.3161011,0
21840,-514.5750122,0
22080,-501.6523743,0
22320,-494.3231812,0
22560,-501.5110168,0
22800,-512.1243896,0
23040,-526.897522,0
23280,-543.1541138,0
23520,-557.6811523,0
23760,-565.5673218,0
24000,-564.987793,0
24240,-559.8773804,0
24480,-552.6177979,0
24720,-546.2167969,0
24960,-531.651001,0
25200,-531.6893921,0
25440,-534.1398926,0
25680,-537.8671875,0
25920,-525.7846069,0
26160,-526.1715088,0
26400,-521.8974609,0
26640,-517.8458862,0
26880,-508.941803,0
27120,-520.1063843,0
27360,-526.3143311,0
27600,-525.2508545,0
27840,-501.6054688,0
28080,-489.5399475,0
28320,-472.1504517,0
28560,-450.3677979,0
28800,-404.0994568,0
29040,-381.0597534,0
29280,-357.2157898,0
