mid_date, v [m/yr], satellite, dt (days)
2019-04-08,3682, Sentinel 1,12
2021-05-06,3889, Sentinel 2,10
2021-01-20,3985, Sentinel 1,6
2018-09-09,3751, Sentinel 1,12
2020-09-22,3592, Sentinel 1,12
2018-09-21,3366, Sentinel 1,12
2019-09-04,3373, Sentinel 1,12
2021-06-05,3486, Sentinel 1,6
2019-03-14,3631, Sentinel 1,12
2017-01-13,3483, Sentinel 1,12
2021-10-06,3716, Sentinel 1,12
2016-12-16,2966, Sentinel 1,6
2019-07-13,3818, Sentinel 2,10
2019-07-12,3471, Sentinel 1,12
2022-04-21,3667, Sentinel 1,12
2017-06-23,3538, Sentinel 1,12
2018-12-29,3930, Sentinel 1,12
2016-05-02,3425, Sentinel 2,10
2019-10-05,3401, Sentinel 1,12
2021-11-13,3724, Sentinel 1,6
2021-10-26,4003, Sentinel 2,10
2021-08-15,3822, Sentinel 1,6
2017-07-29,3684, Sentinel 1,12
2018-04-04,3812, Sentinel 1,6
2019-08-20,3549, Sentinel 1,6
2017-12-08,3775, Sentinel 1,12
2021-02-08,3642, Sentinel 1,12
2020-08-09,3551, Sentinel 1,6
2016-05-22,3169, Sentinel 1,12
2018-05-10,3894, Sentinel 1,6
2021-11-17,3550, Sentinel 1,12
2016-05-12,3387, Sentinel 1,12
2018-04-09,3604, Sentinel 1,6
2020-09-10,3484, Sentinel 1,12
2021-10-15,4025, Sentinel 2,10
2022-04-23,3919, Sentinel 2,10
2021-01-19,3483, Sentinel 1,6
2020-03-14,3803, Sentinel 1,12
2017-08-03,3694, Sentinel 2,5
2019-01-01,4339, Sentinel 1,6
2018-07-29,3616, Sentinel 1,12
2020-09-02,3595, Sentinel 1,6
2017-01-03,3309, Sentinel 1,6
2016-05-17,3324, Sentinel 1,12
2017-11-02,3493, Sentinel 1,12
2019-02-18,3499, Sentinel 1,12
2020-12-31,3652, Sentinel 1,6
2018-02-03,3526, Sentinel 1,6
2021-01-16,3773, Sentinel 1,12
2018-01-23,3348, Sentinel 1,6
2018-07-21,4109, Sentinel 2,5
2022-06-20,3511, Sentinel 1,12
2021-09-09,3487, Sentinel 1,6
2017-10-27,3721, Sentinel 1,12
2019-08-03,3607, Sentinel 1,6
2021-06-25,3483, Sentinel 1,12
2022-08-16,3797, Sentinel 2,10
2020-01-16,3974, Sentinel 1,12
2017-11-29,3788, Sentinel 1,6
2021-11-04,4020, Sentinel 2,10
2021-03-24,3315, Sentinel 1,6
2021-08-09,4045, Sentinel 2,5
2018-01-01,3615, Sentinel 1,12
2021-12-08,3665, Sentinel 1,6
2021-11-20,3714, Sentinel 1,6
2022-08-02,3519, Sentinel 1,12
2021-03-28,3531, Sentinel 1,12
2017-12-30,3759, Sentinel 1,6
2018-12-11,3458, Sentinel 1,6
2020-12-05,3904, Sentinel 1,12
2019-09-11,3429, Sentinel 1,12
2020-11-27,3566, Sentinel 1,12
2017-01-01,3476, Sentinel 1,12
2017-01-30,3255, Sentinel 1,12
2022-07-28,3598, Sentinel 1,12
2016-10-17,3223, Sentinel 1,6
2022-09-03,3839, Sentinel 2,5
