mid_date, v [m/yr], satellite, dt (days)
2019-07-30,2506, Sentinel 1,12
2019-07-06,2464, Sentinel 2,5
2018-08-17,2347, Sentinel 1,12
2019-08-11,2442, Sentinel 1,12
2022-05-03,2530, Sentinel 1,12
2021-10-11,2261, Sentinel 2,5
2018-06-26,2048, Sentinel 1,6
2017-10-18,2353, Sentinel 1,6
2022-09-30,2351, Sentinel 2,10
2018-12-23,1977, Sentinel 1,6
2018-11-17,2412, Sentinel 1,6
2021-12-14,961, Sentinel 1,6
2019-05-27,2155, Sentinel 2,5
2020-07-09,2374, Sentinel 1,6
2017-11-17,1618, Sentinel 1,6
2018-09-24,2180, Sentinel 2,10
2019-03-06,1552, Sentinel 1,6
2017-07-01,2178, Sentinel 2,5
2019-12-19,1654, Sentinel 1,6
2018-07-20,2102, Sentinel 1,6
2022-06-20,2495, Sentinel 2,5
2020-06-28,2230, Sentinel 1,6
2019-06-19,2307, Sentinel 2,5
2017-04-30,1654, Sentinel 1,12
2022-04-26,2249, Sentinel 2,5
2016-07-21,2306, Sentinel 2,10
2020-12-01,2973, Sentinel 1,6
2020-07-28,2353, Sentinel 1,6
2018-10-01,2075, Sentinel 1,6
2022-09-08,2365, Sentinel 2,5
2022-10-03,2255, Sentinel 2,10
2021-10-11,2189, Sentinel 2,5
2017-08-13,2771, Sentinel 1,6
2021-04-11,2282, Sentinel 2,5
2017-10-08,1958, Sentinel 1,12
2022-05-09,2181, Sentinel 2,5
2017-08-07,2201, Sentinel 2,10
2016-04-19,2184, Sentinel 2,10
2018-09-22,1938, Sentinel 2,5
2019-08-12,2122, Sentinel 1,12
2021-03-18,1986, Sentinel 1,6
2017-09-15,2257, Sentinel 1,12
2019-05-29,2247, Sentinel 2,10
2018-07-26,1883, Sentinel 1,6
2020-04-19,1936, Sentinel 1,12
2020-06-27,2474, Sentinel 2,10
2020-10-02,2395, Sentinel 1,6
2020-08-06,2005, Sentinel 1,12
2021-07-19,1968, Sentinel 1,12
2021-10-18,2242, Sentinel 2,5
2022-06-30,2427, Sentinel 2,5
2017-08-09,2238, Sentinel 1,12
2022-06-15,2284, Sentinel 1,12
2021-01-19,1243, Sentinel 1,6
2018-10-19,2138, Sentinel 2,10
2021-10-14,1768, Sentinel 1,6
2019-11-01,2188, Sentinel 2,5
2020-12-12,3258, Sentinel 1,6
2020-09-19,1859, Sentinel 1,6
2022-07-15,2433, Sentinel 2,10
2019-06-12,2559, Sentinel 1,12
2020-08-06,2532, Sentinel 2,10
2020-02-16,1752, Sentinel 1,6
2021-09-23,2334, Sentinel 2,10
2017-12-10,1929, Sentinel 1,6
2018-08-08,2984, Sentinel 1,6
2017-06-23,2254, Sentinel 2,10
2021-05-12,2279, Sentinel 1,6
2020-09-06,2328, Sentinel 2,5
2017-10-29,1680, Sentinel 1,6
2019-10-04,2316, Sentinel 2,10
2020-08-04,2422, Sentinel 2,5
2019-04-02,2163, Sentinel 2,5
2022-06-25,2319, Sentinel 2,5
2017-11-02,1942, Sentinel 1,12
2018-05-09,3218, Sentinel 1,6
2020-05-04,1886, Sentinel 1,6
2019-07-22,2716, Sentinel 1,6
2021-10-05,2292, Sentinel 2,10
2022-05-11,2335, Sentinel 2,5
2022-06-28,2479, Sentinel 2,5
2021-07-27,2636, Sentinel 2,10
2021-05-18,2462, Sentinel 2,10
2021-01-07,2376, Sentinel 1,6
2021-10-09,2342, Sentinel 1,6
2019-06-04,2347, Sentinel 1,6
2022-05-29,2450, Sentinel 2,5
2019-08-18,2259, Sentinel 2,5
2019-09-04,2085, Sentinel 1,12
2018-10-25,2543, Sentinel 1,6
2020-07-15,1694, Sentinel 1,6
2019-07-07,2661, Sentinel 1,12
2021-06-25,2650, Sentinel 2,10
2022-07-05,2511, Sentinel 2,5
2021-07-11,2655, Sentinel 1,6
2018-04-22,1774, Sentinel 2,5
2016-08-16,2768, Sentinel 1,12
2019-10-21,2233, Sentinel 2,10
2021-01-02,435, Sentinel 1,6
2021-06-23,1720, Sentinel 1,6
2021-08-15,3607, Sentinel 1,6
2017-07-07,2026, Sentinel 1,6
2022-09-12,585, Sentinel 1,12
2018-04-04,2475, Sentinel 1,6
2018-08-22,2284, Sentinel 2,10
2018-05-27,1609, Sentinel 1,6
2021-06-10,2820, Sentinel 1,6
2018-08-19,1913, Sentinel 1,6
2015-08-15,2099, Sentinel 1,12
2019-10-19,2249, Sentinel 2,5
2022-07-28,1934, Sentinel 1,12
2017-09-30,1960, Sentinel 1,6
2018-03-08,2096, Sentinel 2,10
2021-10-23,2293, Sentinel 2,10
2019-07-24,971, Sentinel 1,12
2022-06-23,2365, Sentinel 2,5
2020-04-25,1912, Sentinel 1,12
2019-07-15,2392, Sentinel 1,6
2020-08-29,2530, Sentinel 2,10
2020-12-21,2937, Sentinel 1,6
2020-04-28,2204, Sentinel 1,6
2017-05-26,1905, Sentinel 1,6
2022-07-25,2428, Sentinel 2,10
2017-02-13,2642, Sentinel 1,6
2017-03-04,2623, Sentinel 1,6
2020-10-17,2041, Sentinel 1,12
2018-09-29,2130, Sentinel 2,10
2017-01-21,1632, Sentinel 1,6
2020-08-19,2523, Sentinel 2,10
2022-05-03,2327, Sentinel 2,10
2019-08-15,2148, Sentinel 1,6
2017-09-05,2047, Sentinel 1,6
2017-10-02,2097, Sentinel 2,5
2021-01-07,1844, Sentinel 1,6
2018-07-16,2573, Sentinel 2,5
2020-11-12,1962, Sentinel 1,6
2021-03-31,2685, Sentinel 1,6
2022-06-15,2479, Sentinel 2,10
2017-05-29,2310, Sentinel 1,12
2017-06-13,2222, Sentinel 2,10
2020-08-09,2335, Sentinel 2,5
2017-06-08,2384, Sentinel 1,6
2021-02-10,2282, Sentinel 1,6
2018-09-24,2089, Sentinel 1,6
2022-10-01,1568, Sentinel 1,12
2019-07-18,2653, Sentinel 2,10
2019-09-06,2431, Sentinel 2,10
2017-06-23,2773, Sentinel 1,12
2020-05-01,2459, Sentinel 1,12
2017-05-21,1662, Sentinel 1,6
2018-09-07,2367, Sentinel 1,6
2021-07-29,2024, Sentinel 1,6
2020-07-04,2595, Sentinel 1,6
2020-08-22,2344, Sentinel 2,5
2021-06-15,2443, Sentinel 2,10
2018-09-04,1988, Sentinel 1,12
2021-09-13,2287, Sentinel 2,5
2022-04-13,2367, Sentinel 2,10
2019-01-16,1909, Sentinel 1,6
2018-07-17,3752, Sentinel 1,12
2017-07-29,1778, Sentinel 2,5
2016-04-30,1928, Sentinel 1,12
2019-06-06,2095, Sentinel 2,5
2020-06-16,2098, Sentinel 1,6
2017-10-12,1874, Sentinel 1,6
2020-08-17,2631, Sentinel 1,12
2016-09-09,1663, Sentinel 1,12
2017-07-01,2206, Sentinel 2,5
2020-08-04,2497, Sentinel 2,5
2021-07-23,2508, Sentinel 1,6
2017-06-23,2232, Sentinel 2,10
2017-08-01,2321, Sentinel 1,6
2017-09-11,1949, Sentinel 1,6
2018-08-13,2394, Sentinel 1,6
2018-05-25,2240, Sentinel 1,12
2019-04-16,1864, Sentinel 1,6
2021-04-16,2193, Sentinel 2,5
2022-06-15,2447, Sentinel 2,10
2021-04-16,2245, Sentinel 2,5
2020-10-06,2163, Sentinel 2,5
2019-04-28,1901, Sentinel 1,6
2020-06-10,2213, Sentinel 1,6
2021-09-08,2569, Sentinel 1,6
2019-05-05,2114, Sentinel 1,6
2021-10-06,2197, Sentinel 2,5
2018-08-02,2133, Sentinel 1,6
2020-11-25,2298, Sentinel 1,6
2018-06-15,2015, Sentinel 1,6
2021-05-01,2352, Sentinel 2,5
2021-02-16,2327, Sentinel 1,6
2017-05-03,2322, Sentinel 1,6
2016-07-31,2243, Sentinel 2,10
2020-03-29,1818, Sentinel 1,6
2021-09-13,2361, Sentinel 2,10
2019-07-13,2554, Sentinel 2,10
2017-07-06,2262, Sentinel 2,10
2019-08-10,2402, Sentinel 2,10
2022-10-18,2178, Sentinel 2,5
2021-11-20,1958, Sentinel 1,6
2018-09-29,1974, Sentinel 2,5
2022-08-19,2124, Sentinel 1,12
2022-10-06,393, Sentinel 1,12
2018-07-15,2137, Sentinel 1,6
2017-10-19,2045, Sentinel 2,10
2019-06-13,2431, Sentinel 2,10
2019-08-23,2190, Sentinel 1,12
2019-07-19,2758, Sentinel 1,12
2020-07-10,2547, Sentinel 1,6
2021-06-25,2525, Sentinel 2,5
2019-06-28,2012, Sentinel 1,6
2020-08-29,2470, Sentinel 2,10
2018-07-21,2469, Sentinel 1,6
2017-05-12,2060, Sentinel 1,12
2019-08-22,2502, Sentinel 2,10
2018-02-04,2506, Sentinel 1,6
2021-05-21,2395, Sentinel 2,5
2018-08-27,2304, Sentinel 2,10
2021-05-28,2612, Sentinel 2,10
2022-09-20,2654, Sentinel 2,10
2021-07-20,2562, Sentinel 2,10
2021-01-26,989, Sentinel 1,6
2020-09-26,1874, Sentinel 1,6
2022-03-29,2279, Sentinel 2,10
2021-10-13,2138, Sentinel 2,5
2022-06-03,2379, Sentinel 2,5
2019-08-17,2634, Sentinel 1,12
2020-07-15,2478, Sentinel 2,10
2020-06-01,2072, Sentinel 1,12
2021-07-28,2553, Sentinel 2,5
2021-09-27,2711, Sentinel 1,6
2020-08-30,1930, Sentinel 1,12
2021-05-18,2129, Sentinel 1,6
2016-05-05,2034, Sentinel 1,12
2021-05-29,2264, Sentinel 1,6
2022-05-13,2377, Sentinel 2,10
2022-05-31,2514, Sentinel 2,10
2019-01-11,1996, Sentinel 1,6
2020-08-17,2456, Sentinel 2,5
2020-05-29,2109, Sentinel 1,6
2021-10-08,1940, Sentinel 1,6
2021-11-07,2200, Sentinel 1,6
2021-04-23,2263, Sentinel 2,10
2019-08-14,2012, Sentinel 1,6
2022-04-29,2374, Sentinel 2,5
2022-05-01,2178, Sentinel 2,5
2020-12-09,742, Sentinel 1,12
2019-08-12,2471, Sentinel 2,10
2019-10-24,2102, Sentinel 2,5
2018-03-05,1535, Sentinel 1,6
2018-06-08,2281, Sentinel 1,6
2018-05-30,1935, Sentinel 1,12
2022-05-04,2276, Sentinel 2,5
2017-07-23,2403, Sentinel 2,10
2018-06-23,2015, Sentinel 1,12
2022-06-25,2323, Sentinel 2,5
2018-05-31,2094, Sentinel 1,12
2016-10-29,2071, Sentinel 2,10
2017-06-28,1936, Sentinel 1,12
2022-07-20,2385, Sentinel 2,5
2020-08-14,2637, Sentinel 1,6
2021-06-22,2699, Sentinel 2,10
2021-09-23,2279, Sentinel 2,10
2022-03-12,2355, Sentinel 2,10
2021-01-31,2350, Sentinel 2,10
2019-12-12,1985, Sentinel 1,6
2016-08-27,2240, Sentinel 2,10
2017-07-26,2834, Sentinel 1,6
2017-05-20,1938, Sentinel 1,6
2018-07-23,2053, Sentinel 1,12
2019-08-20,2358, Sentinel 1,6
2017-03-22,2302, Sentinel 1,6
2019-10-14,2433, Sentinel 1,6
2021-06-18,2448, Sentinel 2,5
2017-08-10,2880, Sentinel 1,12
2018-08-10,2613, Sentinel 1,12
2020-05-17,1993, Sentinel 1,6
2021-09-25,2325, Sentinel 2,10
2022-03-22,2113, Sentinel 2,5
2018-01-24,1350, Sentinel 1,6
2021-10-13,2173, Sentinel 2,5
2017-10-09,2844, Sentinel 1,12
2021-01-20,2436, Sentinel 1,6
2021-09-15,1930, Sentinel 1,6
2019-07-03,2408, Sentinel 1,6
2016-05-22,2138, Sentinel 2,10
2019-08-08,2267, Sentinel 2,5
2022-04-09,2267, Sentinel 2,5
2018-10-19,2102, Sentinel 2,5
2017-08-15,2077, Sentinel 2,5
2021-11-02,2180, Sentinel 2,5
2021-05-16,2344, Sentinel 2,5
2020-09-07,1470, Sentinel 1,6
2017-07-29,1735, Sentinel 2,5
2018-10-07,2062, Sentinel 1,6
2021-05-11,2352, Sentinel 2,5
2021-07-28,2243, Sentinel 1,6
2021-10-12,2223, Sentinel 1,12
2019-06-21,2293, Sentinel 1,6
2017-01-04,1784, Sentinel 1,6
2021-06-22,2641, Sentinel 2,10
2019-04-20,2421, Sentinel 1,12
2021-04-24,3412, Sentinel 1,6
2020-09-13,1554, Sentinel 1,6
2021-07-25,2598, Sentinel 2,10
2020-05-11,2102, Sentinel 2,5
2021-10-01,2303, Sentinel 2,5
2019-06-16,2178, Sentinel 1,6
2019-08-15,2429, Sentinel 2,10
2020-03-30,2195, Sentinel 1,6
2018-07-05,2008, Sentinel 1,12
2021-07-04,3345, Sentinel 1,6
2019-08-10,2368, Sentinel 2,5
2018-03-01,2042, Sentinel 2,5
2020-10-01,2087, Sentinel 1,6
2017-09-03,2805, Sentinel 1,12
2019-05-02,1791, Sentinel 1,12
2020-05-05,1979, Sentinel 1,6
2020-07-20,2469, Sentinel 2,5
2019-10-02,2044, Sentinel 1,6
2020-12-14,2460, Sentinel 1,6
2020-04-06,2277, Sentinel 2,5
2021-10-01,2267, Sentinel 2,5
2021-11-26,1536, Sentinel 1,6
2019-09-14,2259, Sentinel 1,6
2017-08-15,2099, Sentinel 1,12
2019-09-20,1579, Sentinel 1,6
2022-03-30,2284, Sentinel 2,5
2020-08-20,2581, Sentinel 1,6
2020-05-31,1716, Sentinel 1,12
2021-11-25,3418, Sentinel 1,6
2020-10-20,1951, Sentinel 1,6
2019-05-14,2041, Sentinel 1,12
2016-10-25,2087, Sentinel 1,12
2022-05-29,2428, Sentinel 2,5
2017-07-19,2070, Sentinel 1,6
2022-07-22,2510, Sentinel 2,10
2020-10-07,2112, Sentinel 1,6
2019-06-27,2744, Sentinel 1,6
2019-09-19,1987, Sentinel 1,6
2021-09-13,2249, Sentinel 2,5
2019-08-22,2482, Sentinel 2,10
2020-07-20,2456, Sentinel 2,5
2017-11-04,1762, Sentinel 1,6
2022-10-18,2269, Sentinel 2,10
2019-07-13,2586, Sentinel 2,10
2022-10-10,2324, Sentinel 2,10
2018-06-06,2217, Sentinel 1,12
