mid_date, v [m/yr], satellite, dt (days)
2019-11-18,3689, Sentinel 1,6
2020-07-06,3200, Sentinel 1,12
2021-06-05,3374, Sentinel 1,6
2016-12-16,3478, Sentinel 1,6
2019-07-13,3833, Sentinel 2,10
2021-09-02,3291, Sentinel 1,6
2017-06-23,3174, Sentinel 1,12
2019-10-19,3779, Sentinel 1,6
2017-07-29,3572, Sentinel 1,12
2020-08-09,3541, Sentinel 1,6
2016-05-22,3104, Sentinel 1,12
2016-05-12,3250, Sentinel 1,12
2020-09-10,3263, Sentinel 1,12
2021-10-15,3791, Sentinel 2,10
2022-04-23,3356, Sentinel 2,10
2017-08-03,3885, Sentinel 2,5
2018-07-29,3057, Sentinel 1,12
2020-09-02,3689, Sentinel 1,6
2016-05-17,3488, Sentinel 1,12
2020-12-31,3581, Sentinel 1,6
2021-10-14,3282, Sentinel 1,6
2018-07-21,3523, Sentinel 2,5
2022-06-20,2933, Sentinel 1,12
2021-09-09,3608, Sentinel 1,6
2017-10-27,3303, Sentinel 1,12
2019-08-03,3639, Sentinel 1,6
2020-07-18,3109, Sentinel 1,12
2021-06-25,3047, Sentinel 1,12
2022-08-16,3540, Sentinel 2,10
2021-05-21,3396, Sentinel 1,12
2022-07-05,3598, Sentinel 2,10
2017-11-29,3560, Sentinel 1,6
2021-11-04,3717, Sentinel 2,10
2021-08-09,4068, Sentinel 2,5
2021-01-20,3661, Sentinel 1,6
2021-11-20,3328, Sentinel 1,6
2022-08-02,3095, Sentinel 1,12
2019-08-26,2948, Sentinel 1,6
2021-05-23,3235, Sentinel 1,6
2018-12-11,3161, Sentinel 1,6
2019-08-08,3094, Sentinel 1,6
2019-10-16,3598, Sentinel 1,12
2022-07-28,3208, Sentinel 1,12
2016-10-17,3564, Sentinel 1,6
2020-05-10,3333, Sentinel 1,6
2021-08-22,3697, Sentinel 1,6
2020-01-19,4277, Sentinel 1,6
2022-04-06,3431, Sentinel 2,10
2022-08-29,3664, Sentinel 2,10
2019-10-07,3489, Sentinel 1,6
2018-08-01,3482, Sentinel 1,6
2018-08-08,3670, Sentinel 1,6
2018-07-11,3514, Sentinel 2,10
2020-09-14,3652, Sentinel 1,6
2019-01-10,2693, Sentinel 1,6
2018-05-24,2898, Sentinel 1,12
2019-12-26,4015, Sentinel 1,6
2018-12-29,3387, Sentinel 1,6
2021-09-21,3986, Sentinel 2,5
2018-06-26,3089, Sentinel 1,6
2019-07-12,3430, Sentinel 1,12
2018-07-21,3134, Sentinel 1,6
2017-09-09,3450, Sentinel 1,12
2017-08-18,3439, Sentinel 1,6
2018-05-03,2971, Sentinel 1,6
2019-06-10,3348, Sentinel 1,6
2020-05-25,2982, Sentinel 1,12
2019-09-26,3713, Sentinel 1,6
2019-10-04,3469, Sentinel 1,12
2019-04-23,3351, Sentinel 1,6
2019-08-22,4050, Sentinel 2,10
2017-08-13,3731, Sentinel 1,6
2021-06-28,3312, Sentinel 1,6
2017-07-14,3336, Sentinel 1,6
2015-06-04,3647, Sentinel 1,12
2020-07-22,3637, Sentinel 1,6
2019-09-17,3519, Sentinel 1,12
2021-10-06,3807, Sentinel 2,5
2022-10-10,3696, Sentinel 2,10
2021-09-26,3741, Sentinel 1,6
2022-05-05,3033, Sentinel 1,12
2016-01-13,4197, Sentinel 1,12
2018-04-18,2842, Sentinel 1,12
2018-12-31,3602, Sentinel 1,6
2021-05-13,3510, Sentinel 2,10
2021-05-08,3498, Sentinel 2,10
2021-09-03,3884, Sentinel 2,10
2021-09-20,3858, Sentinel 2,10
2022-05-03,3293, Sentinel 1,12
2019-06-07,3119, Sentinel 1,12
2017-07-05,3120, Sentinel 1,12
2020-07-13,3339, Sentinel 1,12
2019-07-01,3359, Sentinel 1,12
2021-01-02,3664, Sentinel 1,6
2020-10-20,3733, Sentinel 1,6
2021-08-09,3712, Sentinel 1,6
2018-07-05,2810, Sentinel 1,12
2021-05-14,3571, Sentinel 2,5
2021-05-02,2926, Sentinel 1,12
2019-12-13,3929, Sentinel 1,6
2020-05-20,3343, Sentinel 1,12
2020-12-08,3301, Sentinel 1,6
2020-09-26,3463, Sentinel 1,6
2019-08-15,3995, Sentinel 2,10
2022-08-17,3661, Sentinel 2,5
2022-05-31,3358, Sentinel 2,10
2017-09-12,3602, Sentinel 1,6
2021-10-01,3909, Sentinel 2,5
2021-06-07,3193, Sentinel 1,12
2020-07-15,3878, Sentinel 2,10
2021-08-15,3505, Sentinel 1,6
2021-05-06,3495, Sentinel 2,5
2017-01-21,3963, Sentinel 1,6
2019-06-06,3469, Sentinel 2,5
2018-08-27,3804, Sentinel 2,10
2022-06-08,2853, Sentinel 1,12
2018-07-17,2925, Sentinel 1,12
2021-05-01,3509, Sentinel 2,5
2020-05-11,3252, Sentinel 1,6
2016-11-16,3523, Sentinel 1,6
2015-10-02,4054, Sentinel 1,12
2021-07-04,3483, Sentinel 1,6
2021-06-27,3497, Sentinel 1,12
2019-09-02,3642, Sentinel 1,6
2018-12-05,3531, Sentinel 1,6
2017-10-23,3228, Sentinel 1,6
2020-11-01,3599, Sentinel 1,6
2022-08-04,3561, Sentinel 2,10
2020-05-29,3610, Sentinel 1,6
2020-06-07,3228, Sentinel 1,12
2016-10-29,3343, Sentinel 1,6
2016-05-12,3444, Sentinel 1,12
2016-08-21,3560, Sentinel 1,12
2020-06-03,3391, Sentinel 1,6
2021-09-27,3691, Sentinel 1,6
2018-04-19,3320, Sentinel 1,12
2021-10-03,3826, Sentinel 2,10
2019-09-01,3518, Sentinel 1,6
2016-12-04,4049, Sentinel 1,6
2019-09-20,3792, Sentinel 1,6
2022-07-12,3519, Sentinel 2,10
2020-07-12,3177, Sentinel 1,12
2017-07-23,3885, Sentinel 2,10
2022-05-16,3214, Sentinel 2,10
2021-11-26,3433, Sentinel 1,6
2019-11-01,3842, Sentinel 1,6
2021-01-01,3604, Sentinel 1,6
2019-08-17,3065, Sentinel 1,12
2016-08-27,3842, Sentinel 2,10
2015-06-28,3692, Sentinel 1,12
2017-11-23,3544, Sentinel 1,6
2020-12-26,3866, Sentinel 1,6
2021-08-10,3759, Sentinel 1,6
2022-09-02,3614, Sentinel 1,12
2018-06-11,3239, Sentinel 2,5
2018-04-03,2884, Sentinel 1,6
2021-05-03,2931, Sentinel 1,12
2020-07-10,3468, Sentinel 1,6
2016-04-30,3469, Sentinel 1,12
2022-05-04,3333, Sentinel 2,5
2020-12-12,3850, Sentinel 1,6
2019-10-25,3732, Sentinel 1,6
2020-05-28,3056, Sentinel 1,6
2018-01-24,3172, Sentinel 1,6
2019-06-12,3016, Sentinel 1,12
2018-06-29,2783, Sentinel 1,12
2021-10-16,3778, Sentinel 2,5
2019-02-28,3306, Sentinel 1,6
2017-01-11,3851, Sentinel 1,6
2020-12-20,3876, Sentinel 1,6
2020-01-02,3661, Sentinel 1,6
2021-09-13,4006, Sentinel 2,5
2016-09-06,3893, Sentinel 2,10
2020-07-28,3728, Sentinel 1,6
2021-08-06,4070, Sentinel 2,10
2020-06-30,3855, Sentinel 2,10
2021-07-25,4024, Sentinel 2,5
2019-07-28,3608, Sentinel 1,6
2016-07-28,3840, Sentinel 2,10
2018-01-05,3246, Sentinel 1,6
2020-08-12,3587, Sentinel 1,12
2021-09-10,3960, Sentinel 2,10
2021-09-14,3333, Sentinel 1,6
2019-07-03,3259, Sentinel 1,6
2020-07-13,3833, Sentinel 2,5
2016-04-18,3287, Sentinel 1,12
2022-10-18,3672, Sentinel 2,10
2018-08-19,3122, Sentinel 1,6
2021-10-02,3329, Sentinel 1,6
2017-10-03,3767, Sentinel 1,12
2021-05-24,3452, Sentinel 1,6
2018-12-31,2606, Sentinel 1,6
2021-08-30,3175, Sentinel 1,12
2019-08-15,3967, Sentinel 2,5
2020-02-17,3686, Sentinel 1,6
2020-01-10,4147, Sentinel 1,12
2020-07-20,3876, Sentinel 2,5
2018-08-07,3109, Sentinel 1,6
2022-09-26,3387, Sentinel 1,12
2018-08-30,3803, Sentinel 2,5
2019-07-04,3383, Sentinel 1,6
2019-12-31,3783, Sentinel 1,6
2017-10-24,3497, Sentinel 1,6
2022-08-26,3263, Sentinel 1,12
2022-08-22,3616, Sentinel 2,5
2019-06-16,3445, Sentinel 1,6
2017-10-06,3519, Sentinel 1,6
2019-07-06,3378, Sentinel 1,12
2021-08-18,3166, Sentinel 1,12
2018-05-28,3077, Sentinel 1,6
2020-06-16,3390, Sentinel 1,6
2019-06-22,3468, Sentinel 1,6
2020-12-18,3892, Sentinel 1,12
2018-10-07,3603, Sentinel 1,6
2018-12-19,3401, Sentinel 1,6
2016-11-22,3675, Sentinel 1,6
2017-08-07,3568, Sentinel 1,6
2021-07-23,4056, Sentinel 2,5
2021-01-24,3272, Sentinel 1,6
2020-08-09,3920, Sentinel 2,10
2021-08-04,3980, Sentinel 2,5
2021-06-01,2941, Sentinel 1,12
2020-07-17,3878, Sentinel 2,10
2019-06-03,3549, Sentinel 2,10
2021-07-18,3994, Sentinel 2,5
2021-10-20,3387, Sentinel 1,6
2021-10-13,3430, Sentinel 1,12
2018-08-05,3266, Sentinel 1,12
2020-11-24,3385, Sentinel 1,6
2017-01-14,3310, Sentinel 1,6
2021-10-25,3653, Sentinel 1,12
2017-06-23,3680, Sentinel 2,10
2022-03-12,3396, Sentinel 2,10
2022-09-19,3380, Sentinel 1,12
2022-08-19,3584, Sentinel 2,10
2018-06-05,2823, Sentinel 1,12
2021-07-12,3980, Sentinel 2,10
2020-06-10,3365, Sentinel 1,6
2022-05-08,3364, Sentinel 2,10
2022-04-28,3231, Sentinel 1,12
2018-09-06,3285, Sentinel 1,6
2018-01-30,3687, Sentinel 1,6
2022-06-03,3393, Sentinel 2,5
2018-06-06,3068, Sentinel 1,12
2017-06-14,3477, Sentinel 1,6
2019-06-24,3250, Sentinel 1,12
2020-07-03,3276, Sentinel 1,6
2022-07-05,3545, Sentinel 2,5
2019-02-27,3303, Sentinel 1,6
2021-08-01,4085, Sentinel 2,10
2018-05-27,3211, Sentinel 1,6
2021-04-29,2944, Sentinel 1,6
2021-07-02,3116, Sentinel 1,12
2017-08-06,3332, Sentinel 1,6
2021-05-05,3180, Sentinel 1,6
2017-06-13,3730, Sentinel 2,10
2019-02-04,3236, Sentinel 1,6
2021-07-28,4171, Sentinel 2,5
2018-11-24,2930, Sentinel 1,6
2016-06-05,3155, Sentinel 1,12
2019-06-13,3718, Sentinel 2,10
2020-08-04,3892, Sentinel 2,5
2017-06-17,3076, Sentinel 1,12
2017-09-06,3818, Sentinel 1,6
2020-05-01,3022, Sentinel 1,12
2021-01-17,3336, Sentinel 1,6
2021-12-13,3150, Sentinel 1,6
2020-10-17,3577, Sentinel 1,12
2020-06-20,3734, Sentinel 2,10
2021-09-26,3865, Sentinel 2,5
2020-05-07,3270, Sentinel 1,12
2016-10-23,3445, Sentinel 1,6
2017-09-21,3562, Sentinel 1,12
2018-07-24,3201, Sentinel 1,12
2020-05-16,3068, Sentinel 1,6
2022-08-06,3560, Sentinel 2,10
2019-05-23,3166, Sentinel 1,6
2019-07-10,3480, Sentinel 1,6
2021-09-20,3577, Sentinel 1,6
2019-10-02,3649, Sentinel 1,6
2021-06-13,3584, Sentinel 2,5
2022-05-29,3367, Sentinel 2,5
2022-07-30,3482, Sentinel 2,5
2019-11-01,4054, Sentinel 2,5
2017-08-31,3636, Sentinel 1,6
2017-10-19,3817, Sentinel 2,10
2017-06-28,2942, Sentinel 1,12
2022-05-27,3043, Sentinel 1,12
2017-07-06,3724, Sentinel 2,10
2017-09-05,3324, Sentinel 1,6
2022-05-06,3278, Sentinel 2,5
2021-08-14,3626, Sentinel 1,12
2018-04-27,2856, Sentinel 1,6
2018-06-21,3086, Sentinel 1,6
2020-09-07,3425, Sentinel 1,6
2021-05-20,3065, Sentinel 1,12
2019-01-24,3425, Sentinel 1,6
2021-07-10,3274, Sentinel 1,6
2022-08-12,3572, Sentinel 2,5
2022-09-08,3700, Sentinel 2,10
2019-10-14,3696, Sentinel 1,6
2016-05-24,3346, Sentinel 1,12
2021-04-23,3121, Sentinel 1,6
2021-05-30,3145, Sentinel 1,6
2020-07-07,3214, Sentinel 1,12
2019-08-20,3547, Sentinel 1,6
2022-07-25,3705, Sentinel 2,5
2021-04-08,3476, Sentinel 2,10
2021-04-20,2894, Sentinel 1,12
2019-11-08,3870, Sentinel 2,10
2017-09-29,3438, Sentinel 1,6
2019-04-29,3344, Sentinel 1,6
2019-12-20,4101, Sentinel 1,6
2020-08-21,3738, Sentinel 1,6
2019-07-13,3566, Sentinel 1,12
2018-12-23,3481, Sentinel 1,6
2019-03-23,3305, Sentinel 1,6
2018-07-12,3281, Sentinel 1,12
2022-10-11,3701, Sentinel 2,5
2018-06-18,3000, Sentinel 1,12
2017-05-24,3031, Sentinel 1,12
2019-08-30,3999, Sentinel 2,5
2020-06-19,3366, Sentinel 1,12
2018-05-21,2993, Sentinel 1,6
2018-09-07,3673, Sentinel 1,6
2019-08-02,3408, Sentinel 1,6
2017-07-02,3352, Sentinel 1,6
2021-08-04,3764, Sentinel 1,6
2021-08-27,3502, Sentinel 1,6
2022-10-28,3598, Sentinel 2,10
2017-06-16,3136, Sentinel 1,12
2021-10-03,3661, Sentinel 1,6
2022-07-27,3562, Sentinel 2,10
2021-07-01,3574, Sentinel 1,12
2018-08-20,3430, Sentinel 1,6
2016-08-04,3556, Sentinel 1,12
2017-07-01,3130, Sentinel 1,6
2020-12-15,3800, Sentinel 1,6
2020-08-14,3492, Sentinel 1,6
2019-12-26,3623, Sentinel 1,6
2017-10-12,3545, Sentinel 1,6
2017-08-01,3543, Sentinel 1,6
2019-06-09,3051, Sentinel 1,6
2020-10-02,3500, Sentinel 1,6
2020-09-16,3103, Sentinel 1,12
2018-07-09,3527, Sentinel 2,5
2021-08-16,3649, Sentinel 1,6
2020-06-17,3744, Sentinel 2,10
2022-04-06,3311, Sentinel 2,5
2016-04-18,3470, Sentinel 1,12
2020-06-25,3307, Sentinel 1,12
2017-03-28,3801, Sentinel 1,6
2021-05-18,3398, Sentinel 1,6
2022-09-06,3571, Sentinel 2,5
2021-08-25,3499, Sentinel 1,12
2019-07-18,3319, Sentinel 1,12
2020-06-04,3431, Sentinel 1,6
2021-09-07,3729, Sentinel 1,12
2019-04-28,3159, Sentinel 1,6
2016-01-25,3914, Sentinel 1,12
2016-09-23,3680, Sentinel 1,6
2022-03-22,3412, Sentinel 2,5
2022-05-13,3323, Sentinel 2,10
2022-05-03,3266, Sentinel 2,10
2021-10-26,3621, Sentinel 1,6
2019-04-22,3112, Sentinel 1,6
2019-05-05,3246, Sentinel 1,6
2018-07-20,3212, Sentinel 1,6
2017-05-29,3107, Sentinel 1,12
2022-03-27,3415, Sentinel 2,10
2018-08-13,3425, Sentinel 1,6
2020-03-18,4071, Sentinel 1,6
2019-08-09,3568, Sentinel 1,6
2022-06-15,3374, Sentinel 2,10
2019-07-09,3190, Sentinel 1,6
2019-09-13,3518, Sentinel 1,6
2018-08-25,3879, Sentinel 2,5
2019-10-04,4129, Sentinel 2,10
2019-01-24,3473, Sentinel 1,6
2022-09-14,3288, Sentinel 1,12
2021-11-02,3411, Sentinel 1,6
2017-11-17,3285, Sentinel 1,6
2022-06-25,3291, Sentinel 2,5
2018-07-08,2848, Sentinel 1,6
2019-10-08,3672, Sentinel 1,6
2020-04-23,3802, Sentinel 1,6
2017-10-09,3858, Sentinel 2,10
2019-07-11,3775, Sentinel 2,5
2016-11-04,3438, Sentinel 1,6
2018-07-26,3092, Sentinel 1,6
2021-06-29,3410, Sentinel 1,6
2018-01-18,4046, Sentinel 1,6
2020-08-26,3570, Sentinel 1,6
2020-06-06,3027, Sentinel 1,12
2020-08-03,3701, Sentinel 1,6
2021-06-08,3231, Sentinel 1,12
2020-07-09,3364, Sentinel 1,6
2018-10-04,3504, Sentinel 1,12
2018-02-11,4014, Sentinel 1,6
2020-10-19,3421, Sentinel 1,6
2018-08-12,3826, Sentinel 2,10
2021-09-08,3942, Sentinel 2,5
2019-01-04,3549, Sentinel 1,6
2019-12-30,3385, Sentinel 1,6
2022-07-21,3175, Sentinel 1,12
2021-12-25,3203, Sentinel 1,6
2021-08-26,3499, Sentinel 1,12
2022-06-22,3437, Sentinel 2,10
2020-10-26,3633, Sentinel 1,6
2019-01-12,3981, Sentinel 1,6
2022-09-11,3692, Sentinel 2,5
2021-07-22,3392, Sentinel 1,6
2021-06-03,3273, Sentinel 1,12
2017-08-24,3394, Sentinel 1,6
2018-09-18,3405, Sentinel 1,6
2021-07-20,4040, Sentinel 2,10
2018-07-23,2826, Sentinel 1,12
2022-06-22,3090, Sentinel 1,12
2016-09-26,3814, Sentinel 1,12
2019-07-19,3359, Sentinel 1,12
2019-07-27,3329, Sentinel 1,6
2022-06-25,3322, Sentinel 2,10
2021-04-16,3596, Sentinel 2,5
2020-06-27,3238, Sentinel 1,6
2021-08-11,4048, Sentinel 2,10
2021-12-02,3365, Sentinel 1,6
2020-10-08,3747, Sentinel 1,6
2021-01-13,4159, Sentinel 1,6
2016-05-24,3196, Sentinel 1,12
2017-09-17,3440, Sentinel 1,6
2019-06-13,3195, Sentinel 1,12
2019-06-19,3820, Sentinel 2,5
2020-05-19,3046, Sentinel 1,12
2019-04-20,3081, Sentinel 1,12
2018-08-26,3512, Sentinel 1,6
2020-11-07,3731, Sentinel 1,6
2020-07-18,3994, Sentinel 2,5
2021-09-15,3976, Sentinel 2,10
2017-07-20,3468, Sentinel 1,6
2017-12-05,3808, Sentinel 1,6
2022-08-14,3606, Sentinel 2,10
2019-09-23,3484, Sentinel 1,12
2020-09-17,3185, Sentinel 1,12
2018-07-11,3063, Sentinel 1,12
2021-06-16,3253, Sentinel 1,6
2017-09-24,3580, Sentinel 1,6
2021-05-15,3125, Sentinel 1,12
2016-04-28,3153, Sentinel 1,12
2022-05-26,3272, Sentinel 2,10
2020-02-04,3500, Sentinel 1,6
2018-07-14,3123, Sentinel 1,6
2020-08-16,3936, Sentinel 2,10
2021-07-26,3406, Sentinel 1,12
