mid_date, v [m/yr], satellite, dt (days)
2021-05-06,6254, Sentinel 2,10
2021-01-20,6275, Sentinel 1,6
2018-09-09,6484, Sentinel 1,12
2020-09-22,6158, Sentinel 1,12
2018-09-21,6182, Sentinel 1,12
2019-09-04,5814, Sentinel 1,12
2021-06-05,6293, Sentinel 1,6
2016-12-16,5149, Sentinel 1,6
2019-07-13,5929, Sentinel 2,10
2019-07-12,5948, Sentinel 1,12
2017-06-23,6050, Sentinel 1,12
2016-05-02,5198, Sentinel 2,10
2019-10-05,5573, Sentinel 1,12
2021-11-13,6447, Sentinel 1,6
2021-10-26,6498, Sentinel 2,10
2021-08-15,6745, Sentinel 1,6
2017-07-29,5986, Sentinel 1,12
2019-08-20,5941, Sentinel 1,6
2020-08-09,6494, Sentinel 1,6
2016-05-22,5281, Sentinel 1,12
2016-05-12,5227, Sentinel 1,12
2020-09-10,6075, Sentinel 1,12
2021-10-15,6455, Sentinel 2,10
2022-04-23,6290, Sentinel 2,10
2021-01-19,6114, Sentinel 1,6
2017-08-03,6042, Sentinel 2,5
2019-01-01,6295, Sentinel 1,6
2018-07-29,6365, Sentinel 1,12
2020-09-02,5812, Sentinel 1,6
2017-01-03,5970, Sentinel 1,6
2016-05-17,5272, Sentinel 1,12
2020-12-31,6001, Sentinel 1,6
2018-07-21,6534, Sentinel 2,5
2022-06-20,6066, Sentinel 1,12
2021-09-09,6361, Sentinel 1,6
2019-08-03,6028, Sentinel 1,6
2021-06-25,6231, Sentinel 1,12
2022-08-16,6080, Sentinel 2,10
2017-11-29,6310, Sentinel 1,6
2021-11-04,6443, Sentinel 2,10
2021-03-24,5576, Sentinel 1,6
2021-08-09,6595, Sentinel 2,5
2021-12-08,6201, Sentinel 1,6
2021-11-20,6608, Sentinel 1,6
2022-08-02,6186, Sentinel 1,12
2018-12-11,6289, Sentinel 1,6
2020-12-05,5784, Sentinel 1,12
2020-11-27,5920, Sentinel 1,12
2022-07-28,6084, Sentinel 1,12
2016-10-17,5040, Sentinel 1,6
2022-09-03,6021, Sentinel 2,5
2022-04-29,6264, Sentinel 2,5
2021-08-22,6378, Sentinel 1,6
2019-02-03,6052, Sentinel 1,6
2020-01-19,5993, Sentinel 1,6
2018-01-05,5637, Sentinel 1,6
2022-04-06,6417, Sentinel 2,10
2021-06-16,6129, Sentinel 1,6
2022-08-29,5972, Sentinel 2,10
2018-07-18,6434, Sentinel 2,10
2018-08-01,6550, Sentinel 1,6
2018-08-08,6352, Sentinel 1,6
2020-07-19,6283, Sentinel 1,12
2021-07-19,6326, Sentinel 1,12
2018-07-11,6432, Sentinel 2,10
2019-06-06,5881, Sentinel 1,12
2020-09-14,6122, Sentinel 1,6
2017-01-15,5540, Sentinel 1,6
2020-06-27,6354, Sentinel 1,6
2019-01-10,5963, Sentinel 1,6
2018-12-18,6122, Sentinel 1,6
2019-12-26,6059, Sentinel 1,6
2018-12-29,6414, Sentinel 1,6
2021-09-21,6402, Sentinel 2,5
2018-06-26,6286, Sentinel 1,6
2020-08-30,6265, Sentinel 1,12
2019-07-18,5964, Sentinel 2,10
2018-07-21,6221, Sentinel 1,6
2017-09-09,5960, Sentinel 1,12
2017-08-18,6107, Sentinel 1,6
2022-10-11,5643, Sentinel 2,10
2019-06-10,5973, Sentinel 1,6
2020-05-25,6113, Sentinel 1,12
2019-09-26,5779, Sentinel 1,6
2017-08-03,6088, Sentinel 1,12
2019-04-23,6391, Sentinel 1,6
2019-08-22,5837, Sentinel 2,10
2017-08-13,6320, Sentinel 1,6
2022-12-24,5157, Sentinel 1,12
2019-11-12,5944, Sentinel 1,6
2021-05-04,6189, Sentinel 2,10
2020-01-02,6412, Sentinel 1,6
2017-07-14,6020, Sentinel 1,6
2015-06-04,6406, Sentinel 1,12
2020-07-22,6189, Sentinel 1,6
2019-09-17,5618, Sentinel 1,12
2020-08-20,6263, Sentinel 1,6
2021-10-06,6606, Sentinel 2,5
2022-10-10,5700, Sentinel 2,10
2021-06-30,6229, Sentinel 2,5
2020-07-06,6242, Sentinel 1,12
2020-12-09,6186, Sentinel 1,6
2020-05-16,6087, Sentinel 1,6
