mid_date, v [m/yr], satellite, dt (days),rolling_avg
2016-01-06,3318, Sentinel 1,12,
2016-01-08,3794, Sentinel 1,12,
2016-01-18,3519, Sentinel 1,12,
2016-01-23,3447, Sentinel 1,12,
2016-01-30,3515, Sentinel 1,12,
2016-02-01,3803, Sentinel 1,12,
2016-02-04,3398, Sentinel 1,12,
2016-02-06,3705, Sentinel 1,12,
2016-02-11,3493, Sentinel 1,12,
2016-03-01,3740, Sentinel 1,12,
2016-03-06,3426, Sentinel 1,12,
2016-03-11,3409, Sentinel 1,12,
2016-03-18,3419, Sentinel 1,12,
2016-03-23,3348, Sentinel 1,12,
2016-03-30,3446, Sentinel 1,12,
2016-04-04,3225, Sentinel 1,12,
2016-04-11,3413, Sentinel 1,12,
2016-04-18,3232, Sentinel 1,12,
2016-04-18,3592, Sentinel 1,12,
2016-04-19,3578, Sentinel 2,10,
2016-04-23,3391, Sentinel 1,12,
2016-05-02,3425, Sentinel 2,10,
2016-05-02,3425, Sentinel 2,10,
2016-05-05,3391, Sentinel 1,12,
2016-05-10,3387, Sentinel 1,12,
2016-05-12,3546, Sentinel 2,10,
2016-05-12,3324, Sentinel 1,12,
2016-05-12,3387, Sentinel 1,12,
2016-05-17,3324, Sentinel 1,12,
2016-05-22,3169, Sentinel 1,12,3452.9666666666667
2016-05-24,3260, Sentinel 1,12,3451.0333333333333
2016-05-24,3553, Sentinel 1,12,3443.0
2016-05-29,3288, Sentinel 1,12,3435.3
2016-06-03,3340, Sentinel 1,12,3431.733333333333
2016-06-05,3451, Sentinel 1,12,3429.6
2016-06-05,3515, Sentinel 1,12,3420.0
2016-06-11,3580, Sentinel 2,10,3426.0666666666666
2016-07-09,3171, Sentinel 1,12,3408.266666666667
2016-07-11,3281, Sentinel 1,12,3401.2
2016-07-14,3410, Sentinel 2,10,3390.2
2016-07-23,3384, Sentinel 1,12,3388.8
2016-07-28,3599, Sentinel 2,10,3395.133333333333
2016-07-28,3321, Sentinel 1,12,3391.866666666667
2016-07-31,3509, Sentinel 2,10,3397.233333333333
2016-08-04,3323, Sentinel 1,12,3393.133333333333
2016-08-09,3255, Sentinel 1,12,3394.133333333333
2016-08-14,3303, Sentinel 1,12,3390.4666666666667
2016-08-16,3347, Sentinel 1,12,3394.3
2016-08-21,3344, Sentinel 1,12,3386.0333333333333
2016-08-26,3307, Sentinel 1,12,3377.0
2016-08-27,3569, Sentinel 2,10,3382.9333333333334
2016-08-28,3397, Sentinel 1,12,3382.0
2016-09-02,3239, Sentinel 1,12,3375.8
2016-09-06,3496, Sentinel 2,10,3379.3
2016-09-07,3345, Sentinel 1,12,3377.9
2016-09-09,3198, Sentinel 1,12,3366.3
2016-09-14,3180, Sentinel 1,12,3361.5
2016-09-19,3046, Sentinel 1,12,3350.133333333333
2016-09-23,3173, Sentinel 1,6,3345.1
2016-09-26,3114, Sentinel 1,12,3343.266666666667
2016-09-29,3203, Sentinel 1,6,3341.366666666667
2016-10-01,3193, Sentinel 1,12,3329.366666666667
2016-10-02,3473, Sentinel 1,12,3335.5333333333333
2016-10-05,3275, Sentinel 1,6,3333.366666666667
2016-10-08,3195, Sentinel 1,12,3324.8333333333335
2016-10-11,2661, Sentinel 1,6,3296.366666666667
2016-10-13,3291, Sentinel 1,12,3286.733333333333
2016-10-14,3194, Sentinel 1,12,3287.5
2016-10-17,3223, Sentinel 1,6,3285.5666666666666
2016-10-20,3127, Sentinel 1,12,3276.133333333333
2016-10-23,3561, Sentinel 1,6,3282.0333333333333
2016-10-25,3143, Sentinel 1,12,3266.8333333333335
2016-10-26,3125, Sentinel 1,12,3260.3
2016-10-29,3413, Sentinel 2,10,3257.1
2016-10-29,3164, Sentinel 1,6,3251.8
2016-11-01,3178, Sentinel 1,12,3249.233333333333
2016-11-04,3350, Sentinel 1,6,3250.8
2016-11-06,3116, Sentinel 1,12,3243.1
2016-11-07,3177, Sentinel 1,12,3237.5333333333333
2016-11-10,3138, Sentinel 1,6,3231.9
2016-11-13,3353, Sentinel 1,12,3224.7
2016-11-16,3337, Sentinel 1,6,3222.7
2016-11-18,3381, Sentinel 1,12,3227.4333333333334
2016-11-19,3083, Sentinel 1,12,3213.6666666666665
