mid_date, v [m/yr], satellite, dt (days),rolling_avg
2016-04-16,2478, Sentinel 1,12,
2016-04-18,1502, Sentinel 1,12,
2016-04-18,2408, Sentinel 1,12,
2016-04-19,2148, Sentinel 2,10,
2016-04-19,2184, Sentinel 2,10,
2016-04-29,2097, Sentinel 2,10,
2016-04-30,1928, Sentinel 1,12,
2016-05-05,2034, Sentinel 1,12,
2016-05-09,2193, Sentinel 2,10,
2016-05-12,2170, Sentinel 2,10,
2016-05-12,2160, Sentinel 2,10,
2016-05-12,2005, Sentinel 1,12,
2016-05-12,2153, Sentinel 1,12,
2016-05-17,2874, Sentinel 1,12,
2016-05-22,2138, Sentinel 2,10,
2016-05-24,2346, Sentinel 1,12,
2016-05-29,1767, Sentinel 1,12,
2016-06-01,2210, Sentinel 2,10,
2016-06-11,2279, Sentinel 2,10,
2016-07-09,1974, Sentinel 1,12,
2016-07-11,2324, Sentinel 2,10,
2016-07-21,2306, Sentinel 2,10,
2016-07-28,2253, Sentinel 2,10,
2016-07-28,2254, Sentinel 2,10,
2016-07-31,2243, Sentinel 2,10,
2016-07-31,2275, Sentinel 2,10,
2016-08-09,542, Sentinel 1,12,
2016-08-16,2768, Sentinel 1,12,
2016-08-27,2240, Sentinel 2,10,
2016-08-27,2210, Sentinel 2,10,2148.766666666667
2016-09-06,2190, Sentinel 2,10,2139.1666666666665
2016-09-06,2184, Sentinel 2,10,2161.9
2016-09-09,1663, Sentinel 1,12,2137.0666666666666
2016-09-23,1820, Sentinel 1,6,2126.133333333333
2016-09-29,1804, Sentinel 1,6,2113.4666666666667
2016-10-05,2239, Sentinel 1,6,2118.2
2016-10-11,2340, Sentinel 1,6,2131.9333333333334
2016-10-13,2233, Sentinel 1,12,2138.5666666666666
2016-10-17,1849, Sentinel 1,6,2127.1
2016-10-23,1870, Sentinel 1,6,2117.1
2016-10-25,2087, Sentinel 1,12,2114.6666666666665
2016-10-29,2071, Sentinel 2,10,2116.866666666667
2016-10-29,2117, Sentinel 2,10,2115.6666666666665
2016-10-29,1631, Sentinel 1,6,2074.233333333333
2016-11-04,2321, Sentinel 1,6,2080.3333333333335
2016-11-10,1871, Sentinel 1,6,2064.5
2016-11-13,2388, Sentinel 1,12,2085.2
2016-11-16,1258, Sentinel 1,6,2053.4666666666667
2016-11-22,2006, Sentinel 1,6,2044.3666666666666
2016-12-10,1954, Sentinel 1,6,2043.7
2016-12-16,2100, Sentinel 1,6,2036.2333333333333
2016-12-24,1746, Sentinel 1,12,2017.5666666666666
2016-12-28,1568, Sentinel 1,6,1994.7333333333333
2016-12-29,2085, Sentinel 1,6,1989.1
2017-01-04,1784, Sentinel 1,6,1973.8
2017-01-05,2014, Sentinel 1,6,1965.1
2017-01-08,1501, Sentinel 1,6,1997.0666666666666
2017-01-10,1621, Sentinel 1,6,1958.8333333333333
2017-01-10,2017, Sentinel 1,6,1951.4
2017-01-14,1853, Sentinel 1,6,1939.5
2017-01-16,2309, Sentinel 1,6,1943.4666666666667
2017-01-21,1632, Sentinel 1,6,1925.0666666666666
2017-01-26,1957, Sentinel 1,6,1934.8666666666666
2017-01-27,1403, Sentinel 1,6,1920.9666666666667
2017-02-01,1682, Sentinel 1,6,1916.9
2017-02-13,2642, Sentinel 1,6,1930.3333333333333
2017-02-14,1839, Sentinel 1,6,1913.6333333333334
2017-03-04,2623, Sentinel 1,6,1926.6333333333334
2017-03-22,2302, Sentinel 1,6,1941.7333333333333
2017-04-09,2244, Sentinel 1,6,1954.2
2017-04-21,2976, Sentinel 1,6,1983.8333333333333
2017-04-30,1654, Sentinel 1,12,1969.9333333333334
2017-05-03,2322, Sentinel 1,6,1976.7666666666667
2017-05-12,2060, Sentinel 1,12,1991.0666666666666
2017-05-14,2162, Sentinel 1,6,1985.7666666666667
2017-05-20,1938, Sentinel 1,6,1988.0
2017-05-21,1662, Sentinel 1,6,1963.8
2017-05-23,806, Sentinel 1,12,1948.7333333333333
2017-05-26,1905, Sentinel 1,6,1945.3666666666666
2017-05-27,2112, Sentinel 1,6,1950.6333333333334
2017-05-29,2310, Sentinel 1,12,1957.6333333333334
2017-06-01,2272, Sentinel 1,6,1975.1666666666667
2017-06-02,1897, Sentinel 1,6,1986.1333333333334
2017-06-06,2208, Sentinel 2,10,1990.2333333333333
2017-06-06,2200, Sentinel 2,10,2004.1
2017-06-07,1887, Sentinel 1,6,1999.8666666666666
2017-06-08,2384, Sentinel 1,6,2029.3
2017-06-13,2281, Sentinel 2,10,2051.3
2017-06-13,2222, Sentinel 2,10,2058.133333333333
2017-06-14,1909, Sentinel 1,6,2060.0
2017-06-20,2393, Sentinel 1,6,2062.8
2017-06-23,2254, Sentinel 2,10,2083.5333333333333
2017-06-23,2232, Sentinel 2,10,2092.7
2017-06-23,2773, Sentinel 1,12,2138.366666666667
2017-06-25,2078, Sentinel 1,6,2151.5666666666666
2017-06-26,2133, Sentinel 1,6,2134.6
2017-06-28,1936, Sentinel 1,12,2137.8333333333335
2017-07-01,1649, Sentinel 1,6,2105.366666666667
2017-07-01,2206, Sentinel 2,5,2102.1666666666665
2017-07-01,2178, Sentinel 2,5,2099.9666666666667
2017-07-02,2310, Sentinel 1,6,2077.766666666667
2017-07-04,1957, Sentinel 1,12,2087.866666666667
2017-07-05,1017, Sentinel 1,12,2044.3666666666666
2017-07-06,2262, Sentinel 2,10,2051.1
2017-07-06,2255, Sentinel 2,10,2054.2
2017-07-07,2026, Sentinel 1,6,2057.133333333333
2017-07-08,2203, Sentinel 1,6,2075.1666666666665
2017-07-11,2198, Sentinel 1,12,2121.5666666666666
2017-07-13,1975, Sentinel 1,6,2123.9
2017-07-14,2471, Sentinel 1,6,2135.866666666667
2017-07-19,2070, Sentinel 1,6,2127.866666666667
2017-07-20,2217, Sentinel 1,6,2126.0333333333333
2017-07-23,2403, Sentinel 2,10,2142.9
2017-07-23,2398, Sentinel 2,10,2149.233333333333
2017-07-25,2174, Sentinel 1,6,2148.366666666667
2017-07-26,2834, Sentinel 1,6,2179.9333333333334
2017-07-28,2074, Sentinel 1,12,2169.6
2017-07-29,1778, Sentinel 2,5,2152.8333333333335
2017-07-29,1735, Sentinel 2,5,2136.6
2017-07-31,2206, Sentinel 2,5,2146.5
2017-07-31,2072, Sentinel 1,6,2135.8
2017-07-31,2178, Sentinel 2,5,2133.266666666667
2017-08-01,2321, Sentinel 1,6,2136.233333333333
2017-08-03,2055, Sentinel 2,5,2112.3
2017-08-03,2228, Sentinel 1,12,2117.3
2017-08-03,2055, Sentinel 2,5,2114.7
2017-08-05,2252, Sentinel 2,10,2125.233333333333
2017-08-06,2165, Sentinel 1,6,2142.4333333333334
2017-08-07,2201, Sentinel 2,10,2142.266666666667
2017-08-07,2193, Sentinel 2,10,2142.766666666667
2017-08-07,2262, Sentinel 1,6,2141.1666666666665
2017-08-08,2146, Sentinel 2,5,2147.4666666666667
2017-08-09,2238, Sentinel 1,12,2188.1666666666665
2017-08-10,2231, Sentinel 2,10,2187.133333333333
2017-08-10,2880, Sentinel 1,12,2207.9666666666667
2017-08-10,2235, Sentinel 2,10,2214.9333333333334
2017-08-12,1921, Sentinel 1,6,2205.5333333333333
2017-08-13,2243, Sentinel 2,5,2207.0333333333333
2017-08-13,2771, Sentinel 1,6,2233.5666666666666
2017-08-15,2099, Sentinel 1,12,2221.1666666666665
2017-08-15,2077, Sentinel 2,5,2221.4
2017-08-18,2257, Sentinel 1,6,2222.733333333333
2017-08-19,2280, Sentinel 1,6,2218.633333333333
2017-08-21,2304, Sentinel 1,12,2215.5
2017-08-24,1922, Sentinel 1,6,2207.1
2017-08-25,2619, Sentinel 1,6,2199.9333333333334
2017-08-27,2306, Sentinel 1,12,2207.6666666666665
2017-08-30,1998, Sentinel 1,6,2215.0
2017-08-31,2073, Sentinel 1,6,2226.266666666667
2017-09-03,2805, Sentinel 1,12,2246.233333333333
2017-09-05,2047, Sentinel 1,6,2245.4
