mid_date, v [m/yr], satellite, dt (days),rolling_avg
2016-01-13,4197, Sentinel 1,12,
2016-01-25,3914, Sentinel 1,12,
2016-02-06,3945, Sentinel 1,12,
2016-03-13,3567, Sentinel 1,12,
2016-03-25,3741, Sentinel 1,12,
2016-03-30,3577, Sentinel 1,12,
2016-04-16,3198, Sentinel 1,12,
2016-04-18,3287, Sentinel 1,12,
2016-04-18,3470, Sentinel 1,12,
2016-04-19,3447, Sentinel 2,10,
2016-04-23,3290, Sentinel 1,12,
2016-04-28,3153, Sentinel 1,12,
2016-04-30,3469, Sentinel 1,12,
2016-04-30,3232, Sentinel 1,12,
2016-05-05,3032, Sentinel 1,12,
2016-05-10,3307, Sentinel 1,12,
2016-05-12,3250, Sentinel 1,12,
2016-05-12,3444, Sentinel 1,12,
2016-05-12,3488, Sentinel 2,10,
2016-05-17,3488, Sentinel 1,12,
2016-05-22,3104, Sentinel 1,12,
2016-05-24,3346, Sentinel 1,12,
2016-05-24,3196, Sentinel 1,12,
2016-05-29,2929, Sentinel 1,12,
2016-06-03,3375, Sentinel 1,12,
2016-06-05,3314, Sentinel 1,12,
2016-06-05,3155, Sentinel 1,12,
2016-06-11,3540, Sentinel 2,10,
2016-07-11,3450, Sentinel 1,12,
2016-07-28,3840, Sentinel 2,10,3424.8333333333335
2016-07-31,3884, Sentinel 2,10,3414.4
2016-08-04,3556, Sentinel 1,12,3402.4666666666667
2016-08-09,3294, Sentinel 1,12,3380.766666666667
2016-08-21,3560, Sentinel 1,12,3380.5333333333333
2016-08-27,3842, Sentinel 2,10,3383.9
2016-08-28,3542, Sentinel 1,12,3382.733333333333
2016-09-06,3893, Sentinel 2,10,3405.9
2016-09-09,3604, Sentinel 1,12,3416.4666666666667
2016-09-23,3680, Sentinel 1,6,3423.4666666666667
2016-09-26,3814, Sentinel 1,12,3435.7
2016-09-29,3659, Sentinel 1,6,3448.0
2016-10-05,3791, Sentinel 1,6,3469.266666666667
2016-10-11,3679, Sentinel 1,6,3476.266666666667
2016-10-14,3456, Sentinel 1,12,3483.733333333333
2016-10-17,3564, Sentinel 1,6,3501.4666666666667
2016-10-23,3445, Sentinel 1,6,3506.0666666666666
2016-10-29,3343, Sentinel 1,6,3509.1666666666665
2016-10-29,3699, Sentinel 2,10,3517.6666666666665
2016-11-04,3438, Sentinel 1,6,3516.0
2016-11-10,3556, Sentinel 1,6,3518.266666666667
2016-11-16,3523, Sentinel 1,6,3532.233333333333
2016-11-22,3675, Sentinel 1,6,3543.2
2016-12-04,4049, Sentinel 1,6,3571.633333333333
2016-12-16,3478, Sentinel 1,6,3589.9333333333334
2017-01-11,3851, Sentinel 1,6,3605.8
2017-01-14,3310, Sentinel 1,6,3605.6666666666665
2017-01-21,3963, Sentinel 1,6,3632.6
2017-03-28,3801, Sentinel 1,6,3641.3
2017-05-03,3626, Sentinel 1,6,3647.1666666666665
2017-05-12,3241, Sentinel 1,12,3627.2
