Curvilinear Box Method
Year,Month,Day,Serial Date,Terminus Position on flowline,Terminus position relative to most recent observation (m),Terminus change (m),Rate of Terminus Change (m/yr),Terminus Width (m),Terminus path length (m),Mean distance between nodes (m),Box Width (m),Box Area (m^2)
2015,1,17,7.3598e+05,10203,465.44,NaN,NaN,3630,4778.2,265.46,1750,1.7856e+07
2015,1,29,7.3599e+05,10229,491.36,25.915,788.25,3633.9,4944,190.15,1750,1.7901e+07
2015,2,10,7.3601e+05,10177,439.06,-52.301,-1590.8,3764.4,4935.6,176.27,1750,1.781e+07
2015,5,29,7.3611e+05,10228,489.77,50.718,171.41,3618.7,4874.4,135.4,1750,1.7898e+07
2015,6,10,7.3613e+05,10148,410.45,-79.321,-2412.7,3732.2,6928.8,301.25,1750,1.776e+07
2015,7,16,7.3616e+05,10220,482.31,71.861,728.59,3784.8,4882.4,139.5,1750,1.7885e+07
2015,8,9,7.3619e+05,10216,477.79,-4.5181,-68.713,3778.4,6194.1,247.76,1750,1.7878e+07
2015,9,14,7.3622e+05,10196,458.2,-19.59,-198.62,3769.9,5273.1,159.79,1750,1.7843e+07
2015,10,8,7.3625e+05,10231,493.31,35.103,533.86,3843.3,6180.8,220.74,1750,1.7905e+07
2015,11,13,7.3628e+05,10229,491.09,-2.2229,-22.538,3963.2,5402.9,158.91,1750,1.7901e+07
2015,12,7,7.3631e+05,10196,458.44,-32.641,-496.41,3799.5,5756.1,191.87,1750,1.7844e+07
2016,1,12,7.3634e+05,10250,511.76,53.313,540.53,3783.5,5319.7,151.99,1750,1.7937e+07
2016,2,5,7.3637e+05,10256,517.92,6.1601,93.684,3565.3,5703.1,183.97,1750,1.7948e+07
2016,3,12,7.364e+05,10368,629.58,111.66,1132.1,3487.6,5949.5,220.35,1750,1.8143e+07
2016,4,5,7.3643e+05,10384,646.12,16.538,251.52,3450.9,5301.2,176.71,1750,1.8172e+07
2016,5,11,7.3646e+05,10206,467.84,-178.28,-1807.5,3686,6399.2,266.63,1750,1.786e+07
2016,8,15,7.3656e+05,10180,441.84,-25.997,-98.842,3680,7302,347.72,1750,1.7815e+07
2016,9,8,7.3658e+05,10203,465.02,23.175,352.45,3665.9,5910,211.07,1750,1.7855e+07
2016,10,8,7.3661e+05,10143,405.09,-59.932,-729.18,3715.8,5037.4,139.93,1750,1.775e+07
2016,11,7,7.3664e+05,10188,449.91,44.824,545.35,3670.6,5241.3,134.39,1750,1.7829e+07
2016,11,13,7.3665e+05,10139,400.88,-49.033,-2982.8,3832.1,6266.5,208.88,1750,1.7743e+07
2016,12,7,7.3667e+05,10178,439.86,38.983,592.86,3720.2,5790.1,170.3,1750,1.7811e+07
2017,1,6,7.367e+05,10184,446.33,6.4747,78.775,3816.2,5196.7,140.45,1750,1.7822e+07
2017,2,5,7.3673e+05,10213,474.88,28.545,347.29,3704.4,6261.3,208.71,1750,1.7872e+07
2017,3,7,7.3676e+05,10207,469.53,-5.3492,-65.081,3736.5,5530.9,162.67,1750,1.7863e+07
2017,4,6,7.3679e+05,10160,421.83,-47.695,-580.29,3758.4,5467.7,165.69,1750,1.778e+07
2017,5,6,7.3682e+05,10123,385.46,-36.377,-442.59,3731.7,7443,391.73,1750,1.7716e+07
2017,6,5,7.3685e+05,10223,485.17,99.715,1213.2,3734.5,5848.7,194.96,1750,1.789e+07
2017,7,5,7.3688e+05,10229,491.18,6.0062,73.075,3682.4,5837.1,182.41,1750,1.7901e+07
2017,8,10,7.3692e+05,10160,422.37,-68.812,-697.68,3840.7,6024.6,188.27,1750,1.7781e+07
2017,9,9,7.3695e+05,10127,389.04,-33.328,-405.5,3758.2,5431.2,146.79,1750,1.7722e+07
2017,10,9,7.3698e+05,10181,443.54,54.505,663.14,3698.4,5888.7,184.02,1750,1.7818e+07
2017,11,8,7.3701e+05,10172,434.19,-9.356,-113.83,3755.5,5479.8,152.22,1750,1.7801e+07
2017,11,14,7.3701e+05,10173,434.64,0.45696,27.798,3727.8,6351.6,211.72,1750,1.7802e+07
2017,12,8,7.3704e+05,10212,474.4,39.76,604.69,3770.5,5118.1,113.74,1750,1.7872e+07
2018,1,7,7.3707e+05,10262,523.94,49.533,602.65,3671.3,6208.8,182.61,1750,1.7958e+07
2018,2,6,7.371e+05,10176,438.26,-85.68,-1042.4,3592.2,7088.2,244.42,1750,1.7808e+07
2018,3,8,7.3713e+05,10194,455.94,17.682,215.14,3693.4,6112.1,174.63,1750,1.7839e+07
2018,4,7,7.3716e+05,10225,487.16,31.217,379.81,3769.7,6268.5,189.95,1750,1.7894e+07
