Curvilinear Box Method
Year,Month,Day,Serial Date,Terminus Position on flowline,Terminus position relative to most recent observation (m),Terminus change (m),Rate of Terminus Change (m/yr),Terminus Width (m),Terminus path length (m),Mean distance between nodes (m),Box Width (m),Box Area (m^2)
2015,1,17,7.3598e+05,11535,-64.136,NaN,NaN,5523.9,6430.1,238.15,3000,3.4606e+07
2015,1,29,7.3599e+05,11538,-61.122,3.0139,91.672,5141.9,6721.8,240.06,3000,3.4615e+07
2015,2,10,7.3601e+05,11542,-57.953,3.1691,96.394,5486.7,6411.2,194.28,3000,3.4625e+07
2015,5,29,7.3611e+05,11577,-22.572,35.381,119.57,5128.2,6666.1,180.17,3000,3.4731e+07
2015,6,10,7.3613e+05,11502,-97.356,-74.784,-2274.7,5143.1,8796.1,338.31,3000,3.4506e+07
2015,7,16,7.3616e+05,11489,-110.74,-13.386,-135.72,5338.3,6660.8,175.28,3000,3.4466e+07
2015,8,9,7.3619e+05,11446,-153.66,-42.918,-652.72,5460.1,7582.1,223,3000,3.4337e+07
2015,9,14,7.3622e+05,11404,-195.77,-42.109,-426.94,5615.7,7020.6,189.74,3000,3.4211e+07
2015,10,8,7.3625e+05,11421,-178.27,17.495,266.08,5556.3,6767.7,169.19,3000,3.4264e+07
2015,11,13,7.3628e+05,11511,-88.006,90.269,915.22,5501,6573.9,164.35,3000,3.4534e+07
2015,12,7,7.3631e+05,11470,-129.09,-41.089,-624.89,5620.4,6715.9,156.18,3000,3.4411e+07
2016,1,12,7.3634e+05,11755,155.58,284.68,2886.3,5479.1,7058.6,185.75,3000,3.5265e+07
2016,2,5,7.3637e+05,11699,99.701,-55.884,-849.9,5165.1,8311.1,286.59,3000,3.5098e+07
2016,3,12,7.364e+05,11936,336.49,236.79,2400.7,5221.8,7904,254.97,3000,3.5808e+07
2016,4,5,7.3643e+05,12007,407.79,71.302,1084.4,5111.5,7259.3,207.41,3000,3.6022e+07
2016,5,11,7.3646e+05,12353,753.16,345.37,3501.7,5047.4,10344,413.76,3000,3.7058e+07
2016,8,15,7.3656e+05,11484,-115.65,-868.81,-3303.3,5532,8232.7,257.27,3000,3.4452e+07
2016,9,8,7.3658e+05,11388,-211.4,-95.745,-1456.1,5499.9,7656.4,206.93,3000,3.4164e+07
2016,10,8,7.3661e+05,11523,-76.734,134.66,1638.4,5639.1,7196.6,175.53,3000,3.4568e+07
2016,11,7,7.3664e+05,11495,-104.73,-27.993,-340.59,5743.6,6907.8,157,3000,3.4484e+07
