Filename,start_date,end_date,mid_date,POINT_1_VELOCITY,POINT_2_VELOCITY,POINT_3_VELOCITY,POINT_4_VELOCITY
2016-09-25_2016-10-07_S1A_S1A.tif,2016-09-25,2016-10-07,2016/10/01,,5654.0,2706.0,1749.0
2020-04-19_2020-04-25_S1B_S1A_T2.tif,2020-04-19,2020-04-25,2020/04/22,,,,
2021-11-11_2021-11-17_S1B_S1A.tif,2021-11-11,2021-11-17,2021/11/14,,,3092.0,1976.0
2019-02-18_2019-03-02_S1A_S1A.tif,2019-02-18,2019-03-02,2019/02/24,,,,
2021-04-09_2021-04-15_S1B_S1A.tif,2021-04-09,2021-04-15,2021/04/12,,7112.0,,1824.0
2021-10-10_2021-10-22_S1A_S1A.tif,2021-10-10,2021-10-22,2021/10/16,,,,
2017-09-27_2017-10-09_S1A_S1A.tif,2017-09-27,2017-10-09,2017/10/03,,,2994.0,1918.0
2019-12-21_2019-12-27_S1B_S1A.tif,2019-12-21,2019-12-27,2019/12/24,,,3099.0,2110.0
2020-01-09_2020-01-15_S1B_S1A.tif,2020-01-09,2020-01-15,2020/01/12,,,3041.0,1874.0
2022-08-25_2022-09-06_S1A_S1A.tif,2022-08-25,2022-09-06,2022/08/31,,6686.0,3210.0,1994.0
2018-08-16_2018-08-28_S1B_S1B.tif,2018-08-16,2018-08-28,2018/08/22,,7129.0,3070.0,1901.0
2021-07-20_2021-08-01_S1A_S1A.tif,2021-07-20,2021-08-01,2021/07/26,,6998.0,3129.0,1884.0
2017-05-17_2017-05-29_S1B_S1B_T2.tif,2017-05-17,2017-05-29,2017/05/23,,,,
2020-04-30_2020-05-12_S1A_S1A.tif,2020-04-30,2020-05-12,2020/05/06,,,,
2018-03-18_2018-03-24_S1B_S1A.tif,2018-03-18,2018-03-24,2018/03/21,,,,
2019-06-18_2019-06-30_S1A_S1A.tif,2019-06-18,2019-06-30,2019/06/24,,6518.0,2979.0,1899.0
2016-10-08_2016-10-14_S1B_S1A.tif,2016-10-08,2016-10-14,2016/10/11,7540.0,5754.0,2700.0,2029.0
2017-08-09_2017-08-15_S1B_S1A.tif,2017-08-09,2017-08-15,2017/08/12,10769.0,6960.0,3049.0,1822.0
2020-10-16_2020-10-28_S1B_S1B.tif,2020-10-16,2020-10-28,2020/10/22,,,,
2016-04-29_2016-05-11_S1A_S1A.tif,2016-04-29,2016-05-11,2016/05/05,,5812.0,,1856.0
2020-04-14_2020-04-26_S1B_S1B.tif,2020-04-14,2020-04-26,2020/04/20,,,,
2020-09-05_2020-09-11_S1B_S1A_T2.tif,2020-09-05,2020-09-11,2020/09/08,,,,
2016-04-05_2016-04-17_S1A_S1A.tif,2016-04-05,2016-04-17,2016/04/11,,,,1901.0
2018-06-29_2018-07-11_S1B_S1B.tif,2018-06-29,2018-07-11,2018/07/05,,7080.0,3120.0,1910.0
2017-01-14_2017-01-20_S1B_S1A.tif,2017-01-14,2017-01-20,2017/01/17,,,,
2021-03-21_2021-03-27_S1B_S1A_T2.tif,2021-03-21,2021-03-27,2021/03/24,,,,
2018-05-01_2018-05-13_S1A_S1A.tif,2018-05-01,2018-05-13,2018/05/07,,,,
2021-10-11_2021-10-23_S1B_S1B.tif,2021-10-11,2021-10-23,2021/10/17,,,3078.0,1953.0
2020-03-19_2020-03-25_S1B_S1A.tif,2020-03-19,2020-03-25,2020/03/22,,,,
2020-08-24_2020-08-30_S1B_S1A.tif,2020-08-24,2020-08-30,2020/08/27,,7423.0,3163.0,1978.0
2019-01-16_2019-01-22_S1B_S1A.tif,2019-01-16,2019-01-22,2019/01/19,,,,
2018-03-08_2018-03-20_S1B_S1B.tif,2018-03-08,2018-03-20,2018/03/14,,,,
2020-09-17_2020-09-29_S1B_S1B.tif,2020-09-17,2020-09-29,2020/09/23,,,3175.0,1945.0
2019-01-28_2019-02-03_S1B_S1A_T2.tif,2019-01-28,2019-02-03,2019/01/31,,7688.0,3343.0,
2022-04-29_2022-05-11_S1A_S1A.tif,2022-04-29,2022-05-11,2022/05/05,,,,
2017-07-03_2017-07-15_S1A_S1A.tif,2017-07-03,2017-07-15,2017/07/09,,,,
2019-01-16_2019-01-22_S1B_S1A_T2.tif,2019-01-16,2019-01-22,2019/01/19,,,3514.0,
2020-06-18_2020-06-24_S1B_S1A_T2.tif,2020-06-18,2020-06-24,2020/06/21,,,,
2021-07-14_2021-07-20_S1B_S1A.tif,2021-07-14,2021-07-20,2021/07/17,11505.0,7116.0,3091.0,1794.0
2022-04-27_2022-05-09_S1A_S1A_T2.tif,2022-04-27,2022-05-09,2022/05/03,,,,
2020-06-19_2020-07-01_S1A_S1A.tif,2020-06-19,2020-07-01,2020/06/25,,7099.0,3094.0,2065.0
2022-08-15_2022-08-27_S1A_S1A.tif,2022-08-15,2022-08-27,2022/08/21,,6752.0,3201.0,
2021-01-25_2021-01-31_S1B_S1A.tif,2021-01-25,2021-01-31,2021/01/28,,,,
2017-09-14_2017-09-20_S1B_S1A.tif,2017-09-14,2017-09-20,2017/09/17,,6956.0,2397.0,1913.0
2020-09-16_2020-09-28_S1A_S1A.tif,2020-09-16,2020-09-28,2020/09/22,,,3167.0,1911.0
2020-09-29_2020-10-05_S1B_S1A.tif,2020-09-29,2020-10-05,2020/10/02,,6940.0,3288.0,2001.0
2022-09-18_2022-09-30_S1A_S1A.tif,2022-09-18,2022-09-30,2022/09/24,,6571.0,2937.0,1841.0
