gate,mean_x,mean_y,lon,lat,n_pixels,sector,region,Bjork_2015,Mouginot_2019,Zwally_2012,Moon_2008,Moon_2008_dist
1,600,-812300,-44.9516256890949,82.5175093241272,8,77,NO,Jungersen Gletsjer,JUNGERSEN_HENSON_NARAVANA,13,101,45395
2,15700,-838380,-43.9271401791694,82.2770743688412,9,77,NO,Jungersen Gletsjer,JUNGERSEN_HENSON_NARAVANA,13,100,25459
3,182566,-871500,-33.1639920460722,81.79941962457,13,55,NO,Marie Sophie Gletsjer,MARIE_SOPHIE_GLETSCHER,13,103,4007
4,274094,-889973,-27.8683065921183,81.4249191132075,36,216,NO,Hagen Br,HAGEN_BRAE,13,105,2815
5,-3633,-888366,-45.2398006443507,81.8187522463582,19,215,NO,Harder Gletsjer,BRIKKERNE_GLETSCHER,12,99,4720
6,200376,-890300,-32.3116320154575,81.5958895004625,41,56,NO,Academy GGletsjer,ACADEMY,13,104,3015
7,3500,-906820,-44.779640331291,81.6478544764174,20,109,NO,C.H. Ostenfeld Gletsjer,HARDER_GLETSCHER,12,98,9333
8,-82050,-914066,-50.1371848318946,81.5479346000065,36,53,NO,Ryder Gletsjer,RYDER_GLETSCHER,12,96,9602
9,-523,-917241,-45.0321806877968,81.5523689826828,31,84,NO,C.H. Ostenfeld Gletsjer,OSTENFELD_GLETSCHER,12,98,5392
10,-146636,-917700,-54.0901173941129,81.4415873201276,16,146,NO,Steensby Gletsjer,STEENSBY_GLETSCHER,12,95,7461
15,-7480,-919300,-45.468718177771,81.533715116906,16,84,NO,C.H. Ostenfeld Gletsjer,OSTENFELD_GLETSCHER,12,98,7519
17,-12000,-919700,-45.7428090789972,81.5296135521281,12,84,NO,C.H. Ostenfeld Gletsjer,OSTENFELD_GLETSCHER,12,98,10819
20,-88100,-920900,-50.4698366739992,81.4806428172968,3,53,NO,Ryder Gletsjer,RYDER_GLETSCHER,12,96,3601
21,-89142,-922100,-50.5243687868633,81.4687909763868,8,53,NO,Ryder Gletsjer,RYDER_GLETSCHER,12,96,4038
22,-258800,-961400,-60.0706827831959,80.832338631922,22,224,NO,Sigurd Berg Gletsjer,PETERMANN_GLETSCHER_N,11,93,33742
23,-253500,-980336,-59.5095064715085,80.6777036445192,25,224,NO,Porsild Gletsjer,PETERMANN_GLETSCHER_N,11,93,52942
24,-261888,-996839,-59.7304532448503,80.5108805802871,110,223,NO,Petermann Gletsjer,PETERMANN_GLETSCHER,11,93,65872
25,-368612,-1061898,-64.1595322101071,79.6548518138731,217,50,NO,Sermersuaq,HUMBOLDT_GLETSCHER,11,92,4171
26,439187,-1073603,-22.7453792871295,79.3257482124516,135,58,NE,Zachariae Isstrm,NIOGHALVFJERDSFJORDEN,21,211,56309
27,-388800,-1083025,-64.7540063216443,79.410714419734,24,50,NO,Sermersuaq,HUMBOLDT_GLETSCHER,11,92,33104
28,488407,-1100171,-21.0439849807344,78.9259640461715,97,59,NE,Zachariae Isstrm,ZACHARIAE_ISSTROM,21,107,5396
29,-585550,-1166200,-71.6708859131597,77.9991241497556,3,174,NW,Arfalluarfiup Sermia,DIEBITSCH,82,88,5727
30,-581500,-1171300,-71.4158066836975,77.9745815952236,5,174,NW,Arfalluarfiup Sermia,DIEBITSCH,82,88,5390
31,-575200,-1181000,-70.9754176529211,77.9200437811547,8,172,NW,Neqip Sermia,MORRIS_JESUP,82,87,4567
32,-533333,-1222900,-68.573413735088,77.7332770203198,10,164,NW,Kangerluarsuup Sermia,BOWDOIN,82,85,5352
33,-489050,-1236600,-66.5889692419274,77.7718861451372,15,104,NW,Toornaarsulissuup Sermii,MELVILLE_GLETSCHER,82,82,10503
34,-497600,-1236300,-66.9312661763688,77.7468425561127,6,105,NW,Toornaarsulissuup Sermii,SHARP,82,83,7887
35,-481612,-1242200,-66.2042847326267,77.7489145851042,9,103,NW,Tuttulipaluup Sermia,FARQUHAR_GLETSCHER,82,82,4768
36,-477500,-1254642,-65.8455505042303,77.6569644202832,22,48,NW,Qeqertaarsuusarsuup Sermia,TRACY_GLETSCHER,82,81,5037
37,-481863,-1268845,-65.8057584649253,77.5214947130393,29,47,NW,Qaqujaarsuup Sermia,HEILPRIN_GLETSCHER,82,80,5271
43,-561123,-1349100,-67.5925735715853,76.5746052581223,23,49,NW,Ullip Sermia,HARALD_MOLTKE_BRAE,82,75,4847
44,-555500,-1375900,-66.9950335250569,76.3680172685437,3,240,NW,Ullip Sermia,SAVISSUAQ_WW,82,71,6402
45,-549700,-1379140,-66.7411256882575,76.3606392416531,8,240,NW,Ullip Sermia,SAVISSUAQ_WW,82,71,4923
46,-578500,-1384025,-67.6925044583138,76.2193113169169,21,183,NW,Ullip Sermia,SAVISSUAQ_WWWW,82,73,6080
47,-533500,-1387700,-66.038135776105,76.3415023339143,7,239,NW,Savissuup Sermia,SAVISSUAQ_W,82,70,11876
48,-532300,-1387500,-65.9977079587051,76.3471226198766,5,239,NW,Savissuup Sermia,SAVISSUAQ_W,82,70,10840
49,-517300,-1389611,-65.4259199983363,76.3766923913998,18,185,NW,Savissuup Sermia,SAVISSUAQ,82,70,5562
50,-491200,-1395200,-64.3987252326765,76.4100001376664,14,195,NW,Yngvar Nielsen Gletsjer,YNGVAR_NIELSEN_BRAE_W,82,66,4627
51,-487108,-1396850,-64.2319520933205,76.4082948439625,18,197,NW,Yngvar Nielsen Gletsjer,YNGVAR_NIELSEN_BRAE,82,66,5181
52,-467280,-1397700,-63.4945830297494,76.4597090061771,16,45,NW,Innaqqissorsuup Oqquani Sermeq,CARLOS,82,63,4209
54,-474900,-1399900,-63.7469802294159,76.4186094337328,3,45,NW,Yngvar Nielsen Gletsjer,CARLOS,82,64,5054
55,-500025,-1400600,-64.6567414326597,76.3362374126526,7,196,NW,Helland Gletsjer,HELLAND,82,67,5119
56,-451600,-1410612,-62.7551099620844,76.391915413773,31,147,NW,Innaqqissorsuup Oqquani Sermeq,GADE-MORELL,81,62,3676
57,-444037,-1417200,-62.4054450245148,76.3549553574571,10,147,NW,Morell Gletsjer,GADE-MORELL,81,61,6754
58,-435450,-1418000,-62.0791248480771,76.3712116183693,5,148,NW,Qeqertat Timaanni Sermeq,DOCKER_SMITH_GLETSCHER_W,81,60,5630
59,-429969,-1420992,-61.8406820655,76.3616913294829,20,148,NW,Qeqertat Timaanni Sermeq,DOCKER_SMITH_GLETSCHER_W,81,60,5000
60,-427688,-1428611,-61.6728840550938,76.2994342598521,27,78,NW,Qeqertat Timaanni Sermeq,DOCKER_SMITH_GLETSCHER,81,58,5531
61,-420888,-1431500,-61.3917817538916,76.292605564151,16,78,NW,Qeqertat Timaanni Sermeq,DOCKER_SMITH_GLETSCHER,81,57,4557
63,-408695,-1436108,-60.8926367718346,76.2832462190817,46,44,NW,Rink Gletsjer,RINK_GLETSCHER,81,56,5042
64,-402821,-1445792,-60.5791696754219,76.2134132771357,56,43,NW,Peary Gletsjer,ISSUUARSUIT_SERMIA,81,55,2458
66,-405300,-1455207,-60.5690376851301,76.1233388097205,25,43,NW,Peary Gletsjer,ISSUUARSUIT_SERMIA,81,54,7489
68,-406230,-1458200,-60.5750169477831,76.0945830082339,11,43,NW,Issuusarsuit Sermiat,ISSUUARSUIT_SERMIA,81,54,4482
69,-389164,-1459748,-59.9321054631871,76.1234773643444,41,42,NW,Peary Gletsjer,NONAME_NORTH_OSCAR,81,52,6630
70,-383943,-1470575,-59.6376363897268,76.0404835348346,32,127,NW,Nuussuup Sermia,KONG_OSCAR_GLETSCHER,81,51,3937
74,-378700,-1473300,-59.4213972933137,76.0276822535358,5,127,NW,Nuussuup Sermia,KONG_OSCAR_GLETSCHER,81,50,5755
75,-376500,-1477766,-59.3001125389853,75.9938461866227,5,41,NW,Nuussuup Sermia,NORDENSKIOLD_GLESCHER_NW,81,50,5398
76,-370316,-1492750,-58.9380937472051,75.8752073061925,113,41,NW,Nordenskild Gletsjer,NORDENSKIOLD_GLESCHER_NW,81,48,5238
86,-357866,-1506200,-58.3712428851999,75.7815795053809,16,37,NW,nansen Gletsjer,NANSEN_GLETSCHER,81,47,14836
87,-354233,-1514033,-58.1756424058421,75.7200278344422,8,36,NW,Sverdrup Gletsjer,SVERDRUP_GLETSCHER,81,46,13834
88,-352450,-1524554,-58.0245896078495,75.6315940741843,34,36,NW,Sverdrup Gletsjer,SVERDRUP_GLETSCHER,81,46,4938
89,-350757,-1539728,-57.8365736059436,75.5005232936199,21,38,NW,Dietrichson Gletsjer,STEENSTRUP-DIETRICHSON,81,45,6795
90,-352769,-1547346,-57.8460043370626,75.4291065615677,20,38,NW,Dietrichson Gletsjer,STEENSTRUP-DIETRICHSON,81,45,6374
91,-355073,-1557938,-57.8453826753214,75.3303039597892,42,38,NW,Sermersuaq,STEENSTRUP-DIETRICHSON,81,44,4812
92,-350300,-1581445,-57.4940991954719,75.1306125104095,32,35,NW,Kjer Gletsjer,KJER_GLETSCHER,81,42,8199
93,-353466,-1587255,-57.5599777260518,75.0728663475698,12,214,NW,Kjer Gletsjer,HAYES_GLETSCHER_N_NN,81,41,3408
96,-351200,-1589200,-57.462167784594,75.0598503314328,4,214,NW,Kjer Gletsjer,HAYES_GLETSCHER_N_NN,81,41,2762
97,-349500,-1590809,-57.3950420050802,75.04878325014,14,214,NW,Kjer Gletsjer,HAYES_GLETSCHER_N_NN,81,41,4046
99,-346600,-1593966,-57.2694519654496,75.0279786087872,19,214,NW,Tuttulikassaap Sermia,HAYES_GLETSCHER_N_NN,81,41,7689
100,-335978,-1605325,-56.8227932913075,74.9467986150297,100,214,NW,Tuttulikassaap Sermia,HAYES_GLETSCHER_N_NN,81,39,4389
101,-327860,-1620980,-56.4406126240878,74.822685154453,24,34,NW,Nunatakassaap Sermia,HAYES_GLETSCHER_M_SS,81,37,3990
108,-322900,-1626653,-56.2314816320663,74.779972843885,18,34,NW,Nunatakassaap Sermia,HAYES_GLETSCHER_M_SS,81,36,8664
109,-322200,-1635666,-56.1442252583582,74.701230151953,10,34,NW,Nunatakassaap Sermia,HAYES_GLETSCHER_M_SS,81,36,5255
110,-316594,-1640300,-55.9252101203843,74.6699744915584,42,33,NW,Nunatakassaap Sermia,ALISON_GLETSCHER,81,35,7064
111,623205,-1645800,-24.2525421227512,73.8591659158341,26,139,NE,Waltershausen Gletsjer,WALTERSHAUSEN,31,112,1467
112,-317277,-1650033,-55.8886352545901,74.5812639974163,40,33,NW,Nunatakassaap Sermia,ALISON_GLETSCHER,81,35,6475
113,569233,-1652766,-25.9875194576408,73.9675804008194,14,138,NE,Nunatakgletsjer,ADOLF_HOEL,31,113,4977
