Curvilinear Box Method
Year,Month,Day,Serial Date,Terminus Position on flowline,Terminus position relative to most recent observation (m),Terminus change (m),Rate of Terminus Change (m/yr),Terminus Width (m),Terminus path length (m),Mean distance between nodes (m),Box Width (m),Box Area (m^2)
2015,1,17,7.3598e+05,15607,-739.91,NaN,NaN,3217.5,4066.2,271.08,1500,2.341e+07
2015,1,29,7.3599e+05,15567,-779.24,-39.331,-1196.3,3111.4,3669.4,193.13,1500,2.3351e+07
2015,2,10,7.3601e+05,15431,-915.69,-136.46,-4150.5,3014.2,4114.4,257.15,1500,2.3147e+07
2015,5,29,7.3611e+05,15727,-620.07,295.62,999.1,3076.4,3578.6,198.81,1500,2.359e+07
2015,6,10,7.3613e+05,15793,-553.87,66.196,2013.5,3065.1,4311,253.59,1500,2.3689e+07
2015,7,16,7.3616e+05,15878,-469.12,84.759,859.37,2970.4,3601.2,156.57,1500,2.3816e+07
2015,8,9,7.3619e+05,16341,-5.4676,463.65,7051.3,2724.7,4501.3,300.09,1500,2.4512e+07
2015,9,14,7.3622e+05,16759,412.44,417.91,4237.1,2858.9,3972.1,220.67,1500,2.5139e+07
2015,10,8,7.3625e+05,16315,-31.681,-444.12,-6754.4,2936.5,4566.9,304.46,1500,2.4473e+07
2015,11,13,7.3628e+05,17124,777.21,808.89,8201.2,2676.2,4284.9,285.66,1500,2.5686e+07
2015,12,7,7.3631e+05,17244,896.92,119.72,1820.7,2813.4,3191.5,151.98,1500,2.5865e+07
2016,1,12,7.3634e+05,16724,376.97,-519.95,-5271.7,3065.6,4115,205.75,1500,2.5086e+07
2016,2,5,7.3637e+05,17239,892.21,515.23,7835.8,2680.9,4303.2,286.88,1500,2.5858e+07
2016,3,12,7.364e+05,17382,1035.6,143.39,1453.8,2803.9,3615.3,180.77,1500,2.6073e+07
2016,4,5,7.3643e+05,17739,1392.5,356.86,5427.3,2610.7,4597.8,383.15,1500,2.6609e+07
2016,5,11,7.3646e+05,17588,1241,-151.49,-1535.9,2842.1,4180.9,278.73,1500,2.6382e+07
2016,8,15,7.3656e+05,17842,1495.3,254.32,966.95,2726.9,4471.8,343.98,1500,2.6763e+07
2016,9,8,7.3658e+05,17351,1004.1,-491.22,-7470.6,2747,4324.3,288.29,1500,2.6026e+07
2016,10,8,7.3661e+05,17821,1474.2,470.11,5719.6,2642.7,4495.7,345.83,1500,2.6731e+07
2016,11,7,7.3664e+05,17413,1066.6,-407.56,-4958.7,2929.7,3597.8,179.89,1500,2.612e+07
2016,11,13,7.3665e+05,17408,1060.9,-5.6829,-345.71,2902.2,4545.1,349.62,1500,2.6112e+07
