Image_ID,Quality_Fl,SOURCE,Date,distance_along_line
SEN1_NSIDC_0723_V2_20150113_20150124,0,https://nsidc.org/data/nsidc-0781/versions/1,17/01/2015,12105.12078
SEN1_NSIDC_0723_V2_20150125_20150205,0,https://nsidc.org/data/nsidc-0781/versions/1,29/01/2015,12017.60785
SEN1_NSIDC_0723_V2_20150206_20150217,0,https://nsidc.org/data/nsidc-0781/versions/1,10/02/2015,11926.73947
SEN1_NSIDC_0723_V2_20150606_20150617,0,https://nsidc.org/data/nsidc-0781/versions/1,10/06/2015,12269.24243
SEN1_NSIDC_0723_V2_20150805_20150816,0,https://nsidc.org/data/nsidc-0781/versions/1,09/08/2015,12857.44823
SEN1_NSIDC_0723_V2_20151109_20151120,0,https://nsidc.org/data/nsidc-0781/versions/1,13/11/2015,13582.78283
SEN1_NSIDC_0723_V2_20160201_20160212,0,https://nsidc.org/data/nsidc-0781/versions/1,05/02/2016,13806.99456
SEN1_NSIDC_0723_V2_20160507_20160518,0,https://nsidc.org/data/nsidc-0781/versions/1,11/05/2016,14075.96045
SEN1_NSIDC_0723_V2_20160811_20160822,0,https://nsidc.org/data/nsidc-0781/versions/1,15/08/2016,14289.85732
SEN1_NSIDC_0723_V2_20170201_20170206,0,https://nsidc.org/data/nsidc-0781/versions/1,05/02/2017,13059.78839
SEN1_NSIDC_0723_V2_20180202_20180207,0,https://nsidc.org/data/nsidc-0781/versions/1,06/02/2018,12349.14471
SEN1_NSIDC_0723_V4_20190203_20190208,0,https://nsidc.org/data/nsidc-0781/versions/1,07/02/2019,12556.83582
SEN1_NSIDC_0723_V3_20200204_20200209,0,https://nsidc.org/data/nsidc-0781/versions/1,08/02/2020,12241.8666
SEN1_NSIDC_0723_V4_20210204_20210209,0,https://nsidc.org/data/nsidc-0781/versions/1,08/02/2021,13106.22575
SEN1_NSIDC_0723_V2_20161109_20161114,0,https://nsidc.org/data/nsidc-0781/versions/1,13/11/2016,13897.11232
SEN1_NSIDC_0723_V2_20170502_20170507,0,https://nsidc.org/data/nsidc-0781/versions/1,06/05/2017,12740.04172
SEN1_NSIDC_0723_V2_20170806_20170811,0,https://nsidc.org/data/nsidc-0781/versions/1,10/08/2017,13063.78209
SEN1_NSIDC_0723_V2_20171110_20171115,0,https://nsidc.org/data/nsidc-0781/versions/1,14/11/2017,12416.02859
SEN1_NSIDC_0723_V2_20180503_20180508,0,https://nsidc.org/data/nsidc-0781/versions/1,07/05/2018,12232.17033
SEN1_NSIDC_0723_V2_20190215_20190220,0,https://nsidc.org/data/nsidc-0781/versions/1,19/02/2019,12944.90115
SEN1_NSIDC_0723_V2_20180807_20180812,0,https://nsidc.org/data/nsidc-0781/versions/1,11/08/2018,12326.64147
SEN1_NSIDC_0723_V2_20181111_20181116,0,https://nsidc.org/data/nsidc-0781/versions/1,15/11/2018,12173.6049
