Image_ID,Quality_Fl,SOURCE,Date,distance_along_line
SEN1_NSIDC_0723_V2_20150113_20150124,0,https://nsidc.org/data/nsidc-0781/versions/1,17/01/2015,11419.01526
SEN1_NSIDC_0723_V2_20150125_20150205,0,https://nsidc.org/data/nsidc-0781/versions/1,29/01/2015,11356.85509
SEN1_NSIDC_0723_V2_20150206_20150217,0,https://nsidc.org/data/nsidc-0781/versions/1,10/02/2015,11415.55437
SEN1_NSIDC_0723_V2_20150606_20150617,0,https://nsidc.org/data/nsidc-0781/versions/1,10/06/2015,11214.32248
SEN1_NSIDC_0723_V2_20150805_20150816,0,https://nsidc.org/data/nsidc-0781/versions/1,09/08/2015,11339.86986
SEN1_NSIDC_0723_V2_20151109_20151120,0,https://nsidc.org/data/nsidc-0781/versions/1,13/11/2015,11440.78501
SEN1_NSIDC_0723_V2_20160201_20160212,0,https://nsidc.org/data/nsidc-0781/versions/1,05/02/2016,11506.27358
SEN1_NSIDC_0723_V2_20160507_20160518,0,https://nsidc.org/data/nsidc-0781/versions/1,11/05/2016,12412.06534
SEN1_NSIDC_0723_V2_20160811_20160822,0,https://nsidc.org/data/nsidc-0781/versions/1,15/08/2016,11427.93995
SEN1_NSIDC_0723_V2_20170201_20170206,0,https://nsidc.org/data/nsidc-0781/versions/1,05/02/2017,11645.86139
SEN1_NSIDC_0723_V2_20180202_20180207,0,https://nsidc.org/data/nsidc-0781/versions/1,06/02/2018,11582.3005
SEN1_NSIDC_0723_V4_20190203_20190208,0,https://nsidc.org/data/nsidc-0781/versions/1,07/02/2019,11654.94361
SEN1_NSIDC_0723_V3_20200204_20200209,0,https://nsidc.org/data/nsidc-0781/versions/1,08/02/2020,11495.50785
SEN1_NSIDC_0723_V4_20210204_20210209,0,https://nsidc.org/data/nsidc-0781/versions/1,08/02/2021,11467.06998
SEN1_NSIDC_0723_V2_20161109_20161114,0,https://nsidc.org/data/nsidc-0781/versions/1,13/11/2016,11463.36836
SEN1_NSIDC_0723_V2_20170502_20170507,0,https://nsidc.org/data/nsidc-0781/versions/1,06/05/2017,11568.60528
SEN1_NSIDC_0723_V2_20170806_20170811,0,https://nsidc.org/data/nsidc-0781/versions/1,10/08/2017,11412.69747
SEN1_NSIDC_0723_V2_20171110_20171115,0,https://nsidc.org/data/nsidc-0781/versions/1,14/11/2017,11558.14782
SEN1_NSIDC_0723_V2_20180503_20180508,0,https://nsidc.org/data/nsidc-0781/versions/1,07/05/2018,11936.30325
SEN1_NSIDC_0723_V2_20190215_20190220,0,https://nsidc.org/data/nsidc-0781/versions/1,19/02/2019,11708.72764
SEN1_NSIDC_0723_V2_20180807_20180812,0,https://nsidc.org/data/nsidc-0781/versions/1,11/08/2018,11546.61383
SEN1_NSIDC_0723_V2_20181111_20181116,0,https://nsidc.org/data/nsidc-0781/versions/1,15/11/2018,11509.71359
SEN1_NSIDC_0723_V2_20190504_20190509,0,https://nsidc.org/data/nsidc-0781/versions/1,08/05/2019,12249.06302
SEN1_NSIDC_0723_V2_20190808_20190813,0,https://nsidc.org/data/nsidc-0781/versions/1,12/08/2019,11498.91458
SEN1_NSIDC_0723_V2_20191106_20191111,0,https://nsidc.org/data/nsidc-0781/versions/1,10/11/2019,11475.84701
SEN1_NSIDC_0723_V2_20150525_20150605,0,https://nsidc.org/data/nsidc-0781/versions/1,29/05/2015,11321.85805
SEN1_NSIDC_0723_V4_20150712_20150723,0,https://nsidc.org/data/nsidc-0781/versions/1,16/07/2015,11346.41934
SEN1_NSIDC_0723_V4_20150910_20150921,0,https://nsidc.org/data/nsidc-0781/versions/1,14/09/2015,11358.42074
SEN1_NSIDC_0723_V4_20151004_20151015,0,https://nsidc.org/data/nsidc-0781/versions/1,08/10/2015,11409.98501
SEN1_NSIDC_0723_V4_20151203_20151214,0,https://nsidc.org/data/nsidc-0781/versions/1,07/12/2015,11389.23881
SEN1_NSIDC_0723_V4_20160108_20160119,0,https://nsidc.org/data/nsidc-0781/versions/1,12/01/2016,11727.2852
SEN1_NSIDC_0723_V4_20160308_20160319,0,https://nsidc.org/data/nsidc-0781/versions/1,12/03/2016,11823.63198
SEN1_NSIDC_0723_V4_20160401_20160412,0,https://nsidc.org/data/nsidc-0781/versions/1,05/04/2016,11846.9789
SEN1_NSIDC_0723_V4_20160904_20160915,0,https://nsidc.org/data/nsidc-0781/versions/1,08/09/2016,11365.73637
